rule_id,family,direction,date,or_class,or_size,signal_ts,entry_ts,entry_price,exit_ts,exit_price,exit_reason,net_pnl,scope
or_retest_refine|long|buffer_points=0|confirm_pattern=break_prev|end=10:30|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|rr=1.25|start=10:00|stop_mode=fixed|stop_points=20|target_mode=rr|time_exit=12:00|touch_tolerance=5,or_retest,long,2025-11-20,normal,97.25,2025-11-20 10:23:00-05:00,2025-11-20 10:24:00-05:00,25245.0,2025-11-20 10:25:00-05:00,25224.5,stop,-42.34,human_window
or_retest_refine|long|buffer_points=0|confirm_pattern=break_prev|end=10:30|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|rr=1.25|start=10:00|stop_mode=fixed|stop_points=20|target_mode=rr|time_exit=12:00|touch_tolerance=5,or_retest,long,2025-11-24,wide,208.75,2025-11-24 10:03:00-05:00,2025-11-24 10:04:00-05:00,24741.5,2025-11-24 10:05:00-05:00,24766.0,target,47.66,human_window
or_retest_refine|long|buffer_points=0|confirm_pattern=break_prev|end=10:30|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|rr=1.25|start=10:00|stop_mode=fixed|stop_points=20|target_mode=rr|time_exit=12:00|touch_tolerance=5,or_retest,long,2025-12-01,normal,110.75,2025-12-01 10:26:00-05:00,2025-12-01 10:27:00-05:00,25338.5,2025-12-01 10:30:00-05:00,25318.0,stop,-42.34,human_window
or_retest_refine|long|buffer_points=0|confirm_pattern=break_prev|end=10:30|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|rr=1.25|start=10:00|stop_mode=fixed|stop_points=20|target_mode=rr|time_exit=12:00|touch_tolerance=5,or_retest,long,2025-12-02,normal,141.75,2025-12-02 10:01:00-05:00,2025-12-02 10:02:00-05:00,25642.25,2025-12-02 10:10:00-05:00,25621.75,stop,-42.34,human_window
or_retest_refine|long|buffer_points=0|confirm_pattern=break_prev|end=10:30|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|rr=1.25|start=10:00|stop_mode=fixed|stop_points=20|target_mode=rr|time_exit=12:00|touch_tolerance=5,or_retest,long,2025-12-03,tight,86.5,2025-12-03 10:17:00-05:00,2025-12-03 10:18:00-05:00,25543.25,2025-12-03 10:21:00-05:00,25522.75,stop,-42.34,human_window
or_retest_refine|long|buffer_points=0|confirm_pattern=break_prev|end=10:30|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|rr=1.25|start=10:00|stop_mode=fixed|stop_points=20|target_mode=rr|time_exit=12:00|touch_tolerance=5,or_retest,long,2025-12-09,tight,93.25,2025-12-09 10:29:00-05:00,2025-12-09 10:30:00-05:00,25657.5,2025-12-09 10:45:00-05:00,25682.0,target,47.66,human_window
or_retest_refine|long|buffer_points=0|confirm_pattern=break_prev|end=10:30|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|rr=1.25|start=10:00|stop_mode=fixed|stop_points=20|target_mode=rr|time_exit=12:00|touch_tolerance=5,or_retest,long,2025-12-16,normal,140.5,2025-12-16 10:04:00-05:00,2025-12-16 10:05:00-05:00,25114.5,2025-12-16 10:07:00-05:00,25139.0,target,47.66,human_window
or_retest_refine|long|buffer_points=0|confirm_pattern=break_prev|end=10:30|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|rr=1.25|start=10:00|stop_mode=fixed|stop_points=20|target_mode=rr|time_exit=12:00|touch_tolerance=5,or_retest,long,2025-12-24,tight,45.75,2025-12-24 10:13:00-05:00,2025-12-24 10:14:00-05:00,25832.0,2025-12-24 10:24:00-05:00,25811.5,stop,-42.34,human_window
or_retest_refine|long|buffer_points=0|confirm_pattern=break_prev|end=10:30|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|rr=1.25|start=10:00|stop_mode=fixed|stop_points=20|target_mode=rr|time_exit=12:00|touch_tolerance=5,or_retest,long,2026-01-02,normal,95.5,2026-01-02 10:00:00-05:00,2026-01-02 10:01:00-05:00,25767.0,2026-01-02 10:04:00-05:00,25746.5,stop,-42.34,human_window
or_retest_refine|long|buffer_points=0|confirm_pattern=break_prev|end=10:30|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|rr=1.25|start=10:00|stop_mode=fixed|stop_points=20|target_mode=rr|time_exit=12:00|touch_tolerance=5,or_retest,long,2026-01-07,normal,93.5,2026-01-07 10:06:00-05:00,2026-01-07 10:07:00-05:00,25865.75,2026-01-07 10:15:00-05:00,25845.25,stop,-42.34,human_window
