rule_id,family,direction,date,or_class,or_size,signal_ts,entry_ts,entry_price,exit_ts,exit_price,exit_reason,net_pnl,scope
or_retest_refine|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|or_stop_fraction=0.25|rr=1.25|start=10:00|stop_mode=or_fraction|target_mode=rr|time_exit=12:00|touch_tolerance=5,or_retest,long,2026-01-02,normal,95.5,2026-01-02 10:00:00-05:00,2026-01-02 10:01:00-05:00,25767.0,2026-01-02 10:04:00-05:00,25742.625,stop,-50.09,full_history
or_retest_refine|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|or_stop_fraction=0.25|rr=1.25|start=10:00|stop_mode=or_fraction|target_mode=rr|time_exit=12:00|touch_tolerance=5,or_retest,long,2026-01-07,normal,93.5,2026-01-07 10:06:00-05:00,2026-01-07 10:07:00-05:00,25865.75,2026-01-07 10:15:00-05:00,25841.875,stop,-49.09,full_history
or_retest_refine|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|or_stop_fraction=0.25|rr=1.25|start=10:00|stop_mode=or_fraction|target_mode=rr|time_exit=12:00|touch_tolerance=5,or_retest,long,2026-01-09,wide,142.75,2026-01-09 10:47:00-05:00,2026-01-09 10:48:00-05:00,25799.75,2026-01-09 10:55:00-05:00,25763.5625,stop,-73.715,full_history
or_retest_refine|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|or_stop_fraction=0.25|rr=1.25|start=10:00|stop_mode=or_fraction|target_mode=rr|time_exit=12:00|touch_tolerance=5,or_retest,long,2026-01-12,wide,148.75,2026-01-12 10:12:00-05:00,2026-01-12 10:13:00-05:00,25904.5,2026-01-12 10:45:00-05:00,25866.8125,stop,-76.715,full_history
or_retest_refine|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|or_stop_fraction=0.25|rr=1.25|start=10:00|stop_mode=or_fraction|target_mode=rr|time_exit=12:00|touch_tolerance=5,or_retest,long,2026-01-19,tight,58.0,2026-01-19 10:25:00-05:00,2026-01-19 10:26:00-05:00,25310.75,2026-01-19 10:27:00-05:00,25328.375,target,33.91,full_history
or_retest_refine|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|or_stop_fraction=0.25|rr=1.25|start=10:00|stop_mode=or_fraction|target_mode=rr|time_exit=12:00|touch_tolerance=5,or_retest,long,2026-01-20,normal,124.75,2026-01-20 10:32:00-05:00,2026-01-20 10:33:00-05:00,25384.75,2026-01-20 10:47:00-05:00,25353.0625,stop,-64.715,full_history
or_retest_refine|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|or_stop_fraction=0.25|rr=1.25|start=10:00|stop_mode=or_fraction|target_mode=rr|time_exit=12:00|touch_tolerance=5,or_retest,long,2026-01-26,normal,123.0,2026-01-26 10:13:00-05:00,2026-01-26 10:14:00-05:00,25834.0,2026-01-26 10:19:00-05:00,25871.9375,target,74.535,full_history
or_retest_refine|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|or_stop_fraction=0.25|rr=1.25|start=10:00|stop_mode=or_fraction|target_mode=rr|time_exit=12:00|touch_tolerance=5,or_retest,long,2026-02-06,wide,227.0,2026-02-06 10:42:00-05:00,2026-02-06 10:43:00-05:00,24935.25,2026-02-06 10:50:00-05:00,24878.0,stop,-115.84,full_history
or_retest_refine|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|or_stop_fraction=0.25|rr=1.25|start=10:00|stop_mode=or_fraction|target_mode=rr|time_exit=12:00|touch_tolerance=5,or_retest,long,2026-02-09,wide,197.0,2026-02-09 10:04:00-05:00,2026-02-09 10:05:00-05:00,25164.0,2026-02-09 10:15:00-05:00,25225.0625,target,120.785,full_history
or_retest_refine|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|or_stop_fraction=0.25|rr=1.25|start=10:00|stop_mode=or_fraction|target_mode=rr|time_exit=12:00|touch_tolerance=5,or_retest,long,2026-02-10,normal,145.0,2026-02-10 10:18:00-05:00,2026-02-10 10:19:00-05:00,25413.75,2026-02-10 10:24:00-05:00,25377.0,stop,-74.84,full_history
or_retest_refine|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|or_stop_fraction=0.25|rr=1.25|start=10:00|stop_mode=or_fraction|target_mode=rr|time_exit=12:00|touch_tolerance=5,or_retest,long,2026-02-13,wide,221.25,2026-02-13 10:09:00-05:00,2026-02-13 10:10:00-05:00,24804.25,2026-02-13 10:15:00-05:00,24748.4375,stop,-112.965,full_history
or_retest_refine|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|or_stop_fraction=0.25|rr=1.25|start=10:00|stop_mode=or_fraction|target_mode=rr|time_exit=12:00|touch_tolerance=5,or_retest,long,2026-02-19,normal,120.75,2026-02-19 10:01:00-05:00,2026-02-19 10:02:00-05:00,24895.5,2026-02-19 10:03:00-05:00,24932.734375,target,73.12875,full_history
or_retest_refine|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|or_stop_fraction=0.25|rr=1.25|start=10:00|stop_mode=or_fraction|target_mode=rr|time_exit=12:00|touch_tolerance=5,or_retest,long,2026-02-20,wide,271.75,2026-02-20 10:01:00-05:00,2026-02-20 10:02:00-05:00,25062.0,2026-02-20 10:02:00-05:00,24993.5625,stop,-138.215,full_history
or_retest_refine|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|or_stop_fraction=0.25|rr=1.25|start=10:00|stop_mode=or_fraction|target_mode=rr|time_exit=12:00|touch_tolerance=5,or_retest,long,2026-02-24,normal,218.25,2026-02-24 10:20:00-05:00,2026-02-24 10:21:00-05:00,24915.5,2026-02-24 10:27:00-05:00,24983.203125,target,134.06625,full_history
or_retest_refine|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|or_stop_fraction=0.25|rr=1.25|start=10:00|stop_mode=or_fraction|target_mode=rr|time_exit=12:00|touch_tolerance=5,or_retest,long,2026-02-25,tight,123.0,2026-02-25 10:57:00-05:00,2026-02-25 10:58:00-05:00,25283.75,2026-02-25 11:41:00-05:00,25321.6875,target,74.535,full_history
or_retest_refine|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|or_stop_fraction=0.25|rr=1.25|start=10:00|stop_mode=or_fraction|target_mode=rr|time_exit=12:00|touch_tolerance=5,or_retest,long,2026-02-27,normal,130.0,2026-02-27 10:01:00-05:00,2026-02-27 10:02:00-05:00,24915.0,2026-02-27 10:06:00-05:00,24955.125,target,78.91,full_history
or_retest_refine|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|or_stop_fraction=0.25|rr=1.25|start=10:00|stop_mode=or_fraction|target_mode=rr|time_exit=12:00|touch_tolerance=5,or_retest,long,2026-03-02,wide,280.0,2026-03-02 10:03:00-05:00,2026-03-02 10:04:00-05:00,24897.5,2026-03-02 11:11:00-05:00,24984.5,target,172.66,full_history
