scope,rule_id,family,direction,trades,total_pnl,avg_pnl,median_pnl,win_rate,profit_factor,max_drawdown,sharpe_trade,adjusted_t,is_trades,is_pnl,is_avg,is_win_rate,oos_trades,oos_pnl,oos_avg,oos_win_rate,largest_day_pnl,largest_day_concentration,rules_tried,passes_n80,passes_oos,passes_concentration,passes_pf,passes_adjusted_t,passes_all_core
full_history,or_retest|long|buffer_points=0|confirm_pattern=break_prev|end=12:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|rr=1.5|start=09:45|stop_mode=fixed|stop_points=30|target_mode=rr|time_exit=12:00|touch_tolerance=5,or_retest,long,325,2602.9999999999977,8.009230769230761,-35.84,0.48307692307692307,1.2546936826573458,-610.2800000000036,0.11002172924918167,0.09053146086177925,195,1300.699999999999,6.670256410256405,0.4717948717948718,130,1302.2999999999993,10.017692307692302,0.5,87.66,0.03367652708413372,480,True,True,True,False,False,False
full_history,or_retest|long|buffer_points=0|confirm_pattern=simple|end=12:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|rr=1.5|start=09:45|stop_mode=fixed|stop_points=30|target_mode=rr|time_exit=12:00|touch_tolerance=5,or_retest,long,340,2375.8999999999983,6.987941176470583,-62.34,0.47058823529411764,1.2155363233906664,-466.079999999999,0.09508783055677457,0.08002833452385677,204,1263.139999999999,6.191862745098034,0.46568627450980393,136,1112.7599999999993,8.182058823529406,0.47794117647058826,87.66,0.03689549223452168,480,True,True,True,False,False,False
full_history,or_retest|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|rr=1.5|start=09:45|stop_mode=fixed|stop_points=30|target_mode=rr|time_exit=12:00|touch_tolerance=5,or_retest,long,288,2243.579999999998,7.790208333333327,-62.34,0.4722222222222222,1.2386106939723562,-656.580000000002,0.10495479061609377,0.08129763123216352,172,1286.519999999999,7.47976744186046,0.46511627906976744,116,957.0599999999995,8.250517241379306,0.4827586206896552,87.66,0.03907148396758755,480,True,True,True,False,False,False
full_history,or_retest|long|buffer_points=0|confirm_pattern=simple|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|rr=1.5|start=09:45|stop_mode=fixed|stop_points=30|target_mode=rr|time_exit=12:00|touch_tolerance=5,or_retest,long,309,2079.9399999999987,6.731197411003232,-62.34,0.4627831715210356,1.2021333457726666,-440.7599999999992,0.0904221544430205,0.07254934094523609,185,1211.599999999999,6.549189189189184,0.4594594594594595,124,868.339999999999,7.002741935483863,0.46774193548387094,87.66,0.042145446503264544,480,True,True,True,False,False,False
full_history,or_retest|long|buffer_points=0|confirm_pattern=break_prev|end=12:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|or_stop_fraction=0.25|rr=1.5|start=09:45|stop_mode=or_fraction|target_mode=rr|time_exit=12:00|touch_tolerance=5,or_retest,long,325,1997.1874999999986,6.145192307692303,-22.59,0.47692307692307695,1.2377483877303819,-654.1749999999984,0.09340282665525848,0.07685658463492091,195,629.5749999999994,3.2285897435897404,0.4512820512820513,130,1367.6124999999995,10.52009615384615,0.5153846153846153,237.66,0.11899734000938827,480,True,True,True,False,False,False
full_history,or_retest|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|or_stop_fraction=0.25|rr=1.5|start=09:45|stop_mode=or_fraction|target_mode=rr|time_exit=12:00|touch_tolerance=5,or_retest,long,288,1836.267499999999,6.375928819444441,-22.5275,0.4756944444444444,1.2409771406899386,-614.6899999999966,0.09448518247406669,0.07318790763708584,172,640.8324999999993,3.725770348837205,0.4476744186046512,116,1195.4349999999995,10.30547413793103,0.5172413793103449,237.66,0.1294255875029102,480,True,True,True,False,False,False
full_history,or_retest|long|buffer_points=0|confirm_pattern=break_prev|end=12:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,or_retest,long,325,1508.9999999999982,4.643076923076918,57.66,0.563076923076923,1.1754798076117992,-427.7200000000002,0.07969309717444499,0.06557552364462496,195,321.19999999999925,1.6471794871794834,0.5384615384615384,130,1187.7999999999993,9.136923076923072,0.6,57.66,0.03821073558648116,480,True,True,True,False,False,False
full_history,or_retest|long|buffer_points=0|confirm_pattern=break_prev|end=12:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|or_stop_fraction=0.25|start=09:45|stop_mode=or_fraction|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,or_retest,long,325,1389.2499999999986,4.27461538461538,-22.34,0.48307692307692307,1.1853477546805555,-715.9249999999984,0.08080062478772092,0.06648685355607856,195,657.6999999999995,3.37282051282051,0.4512820512820513,130,731.5499999999997,5.62730769230769,0.5307692307692308,57.66,0.04150440885369808,480,True,True,True,False,False,False
full_history,or_retest|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,or_retest,long,288,1351.5799999999986,4.692986111111106,57.66,0.5590277777777778,1.1723035422440578,-459.7800000000003,0.07911005637598342,0.06127838617234273,172,356.51999999999896,2.0727906976744124,0.5348837209302325,116,995.0599999999996,8.578103448275858,0.5948275862068966,57.66,0.04266118172805165,480,True,True,True,False,False,False
full_history,fade|long|buffer_points=0|ema_ext=10|end=11:00|max_risk_points=120|min_reward_points=8|or_ext=0|or_location=none|pattern=green_close|rsi_mode=not_bull|start=10:00|stop_mode=fixed|stop_points=30|target_mode=vwap|time_exit=12:00|vwap_ext=10,fade_extreme,long,289,841.1239823135047,2.9104636066211236,-62.34,0.4671280276816609,1.0876137959736405,-1454.5895191208206,0.03624080948691535,0.02812070421582691,173,-515.9652255344785,-2.9824579510663494,0.43352601156069365,116,1357.089207847983,11.699044895241233,0.5172413793103449,413.30360224431587,0.4913706075857303,480,True,False,False,False,False,False
