rule_id,family,direction,date,or_class,or_size,signal_ts,entry_ts,entry_price,exit_ts,exit_price,exit_reason,net_pnl,scope
inverse_orb|short|buffer_points=0|confirm_pattern=break_prev|end=12:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,inverse_orb,short,2024-06-28,normal,66.5,2024-06-28 11:01:00-04:00,2024-06-28 11:02:00-04:00,20096.25,2024-06-28 11:41:00-04:00,20126.75,stop,-62.34,full_history
inverse_orb|short|buffer_points=0|confirm_pattern=break_prev|end=12:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,inverse_orb,short,2024-07-02,wide,106.5,2024-07-02 09:47:00-04:00,2024-07-02 09:48:00-04:00,20073.0,2024-07-02 09:50:00-04:00,20043.5,target,57.66,full_history
inverse_orb|short|buffer_points=0|confirm_pattern=break_prev|end=12:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,inverse_orb,short,2024-07-03,normal,51.5,2024-07-03 09:50:00-04:00,2024-07-03 09:51:00-04:00,20264.25,2024-07-03 10:00:00-04:00,20294.75,stop,-62.34,full_history
inverse_orb|short|buffer_points=0|confirm_pattern=break_prev|end=12:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,inverse_orb,short,2024-07-05,normal,54.75,2024-07-05 10:08:00-04:00,2024-07-05 10:09:00-04:00,20480.25,2024-07-05 10:18:00-04:00,20510.75,stop,-62.34,full_history
inverse_orb|short|buffer_points=0|confirm_pattern=break_prev|end=12:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,inverse_orb,short,2024-07-08,tight,44.25,2024-07-08 09:52:00-04:00,2024-07-08 09:53:00-04:00,20634.0,2024-07-08 10:00:00-04:00,20604.5,target,57.66,full_history
inverse_orb|short|buffer_points=0|confirm_pattern=break_prev|end=12:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,inverse_orb,short,2024-07-10,normal,46.75,2024-07-10 09:50:00-04:00,2024-07-10 09:51:00-04:00,20756.75,2024-07-10 10:09:00-04:00,20787.25,stop,-62.34,full_history
inverse_orb|short|buffer_points=0|confirm_pattern=break_prev|end=12:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,inverse_orb,short,2024-07-15,normal,70.0,2024-07-15 10:12:00-04:00,2024-07-15 10:13:00-04:00,20664.5,2024-07-15 10:30:00-04:00,20695.0,stop,-62.34,full_history
inverse_orb|short|buffer_points=0|confirm_pattern=break_prev|end=12:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,inverse_orb,short,2024-07-22,wide,97.0,2024-07-22 09:57:00-04:00,2024-07-22 09:58:00-04:00,19969.5,2024-07-22 10:01:00-04:00,19940.0,target,57.66,full_history
inverse_orb|short|buffer_points=0|confirm_pattern=break_prev|end=12:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,inverse_orb,short,2024-07-23,wide,100.5,2024-07-23 10:24:00-04:00,2024-07-23 10:25:00-04:00,20021.0,2024-07-23 10:38:00-04:00,19991.5,target,57.66,full_history
inverse_orb|short|buffer_points=0|confirm_pattern=break_prev|end=12:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,inverse_orb,short,2024-07-25,wide,119.0,2024-07-25 11:20:00-04:00,2024-07-25 11:21:00-04:00,19221.5,2024-07-25 11:23:00-04:00,19192.0,target,57.66,full_history
inverse_orb|short|buffer_points=0|confirm_pattern=break_prev|end=12:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,inverse_orb,short,2024-07-26,normal,87.25,2024-07-26 10:29:00-04:00,2024-07-26 10:30:00-04:00,19136.5,2024-07-26 10:30:00-04:00,19107.0,target,57.66,full_history
inverse_orb|short|buffer_points=0|confirm_pattern=break_prev|end=12:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,inverse_orb,short,2024-07-29,wide,120.25,2024-07-29 09:48:00-04:00,2024-07-29 09:49:00-04:00,19325.75,2024-07-29 09:52:00-04:00,19296.25,target,57.66,full_history
inverse_orb|short|buffer_points=0|confirm_pattern=break_prev|end=12:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,inverse_orb,short,2024-07-31,normal,101.5,2024-07-31 10:04:00-04:00,2024-07-31 10:05:00-04:00,19406.0,2024-07-31 10:06:00-04:00,19436.5,stop,-62.34,full_history
