idea_id,entry_time_et,direction,setup_label,human_1c,max_size,entry_price,pdh,pdl,pdc,pdh_dist,pdl_dist,pdc_dist,gap_pts,round_signed,round_abs,ema20_60m,ema50_60m,entry_vs_60m_ema20,pre_entry_pattern,vol_z,vol_3bar_z
1,2025-11-13 09:41:55.866320-05:00,long,pre_or_locked_trade,56.66,3,25347.0,25780.5,25488.75,25625.25,-433.5,-141.75,-278.25,-148.0,-3.0,3.0,25564.133839544556,25575.55838576796,below,red_against,-0.599299696794394,-0.09079911855535311
3,2025-11-14 09:45:59.318167-05:00,short,ema_continuation_candidate,29.0975,4,25040.46875,25501.5,25002.0,25100.0,-461.03125,38.46875,-59.53125,-376.75,-9.53125,9.53125,25356.434301712903,25474.740670777413,below,green_against,-0.12619330739167026,-1.2067027665582066
6,2025-11-17 10:07:07.726037-05:00,short,inverse_orb_candidate,27.82666666666424,1,25138.875,25293.5,24626.0,25105.5,-154.625,512.875,33.375,-107.75,-11.125,11.125,25250.819773195715,25388.63255360173,below,breakout_down,0.5615243238629176,0.28482425278493523
7,2025-11-17 13:58:16.361276-05:00,long,discretionary_or_unclassified,2.4599999999956346,6,24826.075,25293.5,24626.0,25105.5,-467.4249999999993,200.07500000000073,-279.4249999999993,-107.75,-23.924999999999272,23.924999999999272,25209.027407877053,25355.019195473007,below,red_against,1.171508252991685,0.4155616247283969
9,2025-11-18 09:59:02.632250-05:00,long,discretionary_or_unclassified,46.45999999999563,2,24511.45,25254.75,24732.0,24887.75,-743.2999999999993,-220.54999999999927,-376.2999999999993,-169.5,11.450000000000728,11.450000000000728,25114.969656692443,25297.49951623587,below,red_against,-1.4115585533356867,-1.1467310384830123
11,2025-11-19 10:01:52.772502-05:00,short,discretionary_or_unclassified,14.445714285710128,4,24918.035714285714,24832.0,24380.0,24585.0,86.03571428571377,538.0357142857138,333.03571428571377,25.75,18.035714285713766,18.035714285713766,24881.13390023498,25127.758344513124,above,doji,-1.2626522329785907,0.20305115497967716
12,2025-11-19 12:35:11.636672-05:00,long,orb_breakout_or_retest_candidate,32.32666666666424,1,24610.0,24832.0,24380.0,24585.0,-222.0,230.0,25.0,25.75,10.0,10.0,24855.670834432716,25098.063931247987,below,red_against,0.06378184466201489,0.14805675467784243
13,2025-11-20 09:43:58.357097-05:00,short,pre_or_locked_trade,16.19333333333285,4,25238.9,24988.0,24508.0,24724.25,250.90000000000146,730.9000000000015,514.6500000000015,486.0,-11.099999999998545,11.099999999998545,24797.69539859475,25035.97269156117,above,green_against,0.5588884335187541,0.4186980102719858
14,2025-11-20 11:06:59.381765-05:00,long,discretionary_or_unclassified,27.02250000000291,21,24741.50625,24988.0,24508.0,24724.25,-246.49375000000146,233.50624999999854,17.256249999998545,486.0,-8.493750000001455,8.493750000001455,24873.519362568495,25049.920965950932,below,breakout_up,0.609046333330858,1.0424237259777456
16,2025-11-21 10:55:18.597736-05:00,long,discretionary_or_unclassified,10.41,1,24076.375,25310.0,24099.5,24137.75,-1233.625,-23.125,-61.375,65.0,-23.625,23.625,24616.02971071285,24893.192873157663,below,doji,-1.413317290160842,-0.8863938940032863
17,2025-11-21 11:41:57.420672-05:00,short,discretionary_or_unclassified,9.595185185189766,47,24483.76388888889,25310.0,24099.5,24137.75,-826.2361111111095,384.2638888888905,346.0138888888905,65.0,-16.236111111109494,16.236111111109494,24559.431643025913,24859.018642837756,below,doji,-1.1776892033775819,-1.3480908570327979
19,2025-11-24 09:43:58.618162-05:00,short,pre_or_locked_trade,1.146486486486683,31,24900.493243243243,24596.5,23927.25,24313.5,303.99324324324334,973.2432432432433,586.9932432432433,209.0,0.49324324324334157,0.49324324324334157,24494.163185451296,24774.729515490555,above,breakout_down,-1.0518050573788373,-0.6664193110261968
22,2025-11-25 09:39:41.662333-05:00,short,pre_or_locked_trade,18.66,7,24802.7,24993.25,24513.5,24935.25,-190.54999999999927,289.2000000000007,-132.54999999999927,-78.5,2.7000000000007276,2.7000000000007276,24684.847811091113,24796.511246054684,above,rejection_high,-0.7884596590766548,-0.5504102452786008
24,2025-11-26 09:30:34.230578-05:00,short,pre_or_locked_trade,38.66,1,25232.916666666668,25135.75,24602.0,25079.25,97.16666666666788,630.9166666666679,153.66666666666788,142.75,-17.08333333333212,17.08333333333212,24826.6267869009,24835.317977964278,above,unknown,,
25,2025-11-26 11:28:28.900353-05:00,short,discretionary_or_unclassified,9.493333333335759,1,25328.625,25135.75,24602.0,25079.25,192.875,726.625,249.375,142.75,-21.375,21.375,24898.01308406173,24864.79237412235,above,neutral_down,-1.2426507890038472,-1.0740256168356248
27,2025-11-28 09:39:32.875381-05:00,short,pre_or_locked_trade,14.604444444445253,7,25408.722222222223,25375.5,25134.75,25296.75,33.222222222222626,273.9722222222226,111.97222222222263,62.75,8.722222222222626,8.722222222222626,25066.288790343868,24948.56331793238,above,breakout_down,0.8982973258411316,1.0248392935933621
30,2025-12-01 10:02:09.927206-05:00,short,ema_continuation_candidate,21.81384615383664,9,25387.5,25500.25,25329.5,25484.75,-112.75,58.0,-97.25,-230.0,-12.5,12.5,25227.94460647989,25049.933783008433,above,breakout_down,-0.7228553758446644,-0.5182706664079066
31,2025-12-01 13:54:24.917903-05:00,short,discretionary_or_unclassified,44.66,1,25483.0,25500.25,25329.5,25484.75,-17.25,153.5,-1.75,-230.0,-17.0,17.0,25281.413352321084,25093.2945596879,above,doji,-1.089380425800825,-0.9038650156427515
36,2025-12-04 13:07:43.771385-05:00,short,discretionary_or_unclassified,-0.3400000000000001,1,25579.0,25685.75,25430.0,25657.5,-106.75,149.0,-78.5,54.0,-21.0,21.0,25553.71019873014,25369.004337594604,above,breakout_down,0.1973308394366277,-0.24013433299599415
37,2025-12-05 10:06:10.190509-05:00,short,discretionary_or_unclassified,30.16,1,25832.0,25713.25,25487.0,25627.25,118.75,345.0,204.75,52.75,-18.0,18.0,25588.9426386573,25411.420162663275,above,green_against,0.220606719841638,-0.11361364296238688
