candidate,all_n,all_pnl,all_avg,all_win_rate,is_n,is_pnl,is_avg,is_win_rate,oos_n,oos_pnl,oos_avg,oos_win_rate,oos_vs_is_avg,win_rate_delta_pp,passes_sample_gate,passes_split_stability
morning_all,92,3300.3317779696135,35.87317149966971,0.9021739130434783,57,1876.7241790209494,32.92498559685876,0.8947368421052632,35,1423.607598948665,40.67450282710472,0.9142857142857143,1.2353688874805553,1.9548872180451093,True,True
morning_short,72,2689.808793994565,37.35845547214674,0.9166666666666666,41,1507.5911950459,36.77051695233902,0.9024390243902439,31,1182.217598948665,38.136051578989196,0.9354838709677419,1.0371366719815265,3.3044846577497955,False,True
fade_extreme_or_pre_or,60,1908.8157549450352,31.813595915750586,0.9,42,1038.6911662004482,24.730742052391623,0.8809523809523809,18,870.1245887445864,48.3402549302548,0.9444444444444444,1.954662534098122,6.349206349206349,False,True
fade_extreme,45,1481.4541234192616,32.92120274265026,0.8888888888888888,30,728.5762013413373,24.285873378044577,0.8666666666666667,15,752.8779220779236,50.19186147186157,0.9333333333333333,2.066710168934549,6.666666666666665,False,True
short_above_vwap_and_ema,51,1182.3964710025505,23.184244529461775,0.8627450980392157,29,595.7897053872151,20.544472599559143,0.896551724137931,22,586.606765615335,26.663943891606138,0.8181818181818182,1.2978646087112653,-7.836990595611281,False,True
long_below_vwap_and_ema,27,672.2081921283099,24.89659970845592,0.8888888888888888,21,398.6981921283072,18.985628196586056,0.8571428571428571,6,273.51000000000295,45.58500000000049,1.0,2.4010266886084635,14.28571428571429,False,False
pre_or_locked,15,427.36163152577353,28.490775435051567,0.9333333333333333,12,310.1149648591107,25.842913738259227,0.9166666666666666,3,117.24666666666278,39.08222222222093,1.0,1.512299372201267,8.333333333333337,False,True
orb_retest_labeled,21,350.84543956041983,16.706925693353327,0.8095238095238095,13,222.33091575089756,17.10237813468443,0.7692307692307693,8,128.5145238095222,16.064315476190274,0.875,0.9393030226370147,10.576923076923073,False,False
inverse_orb_labeled,13,347.1109523809484,26.700842490842184,0.9230769230769231,12,338.5509523809469,28.21257936507891,0.9166666666666666,1,8.560000000001455,8.560000000001455,1.0,0.3034107547995732,8.333333333333337,False,False
ema_continuation_labeled,4,153.23134615383663,38.307836538459156,0.75,2,50.91134615383664,25.45567307691832,1.0,2,102.32,51.16,0.5,2.0097681112344588,-50.0,False,False
