idea_id,fill_count,source_row_ids,symbol,contract,direction,entry_time_et,exit_time_et,trade_date_et,duration_minutes,weighted_entry_price,weighted_exit_price,contract_turnover,max_overlapping_contracts,gross_pnl,fees,net_pnl,entry_hour_et,minutes_after_rth_open,time_bucket,or_locked_at_entry,coverage_status,data_quality,pre_entry_1m_close,or_high,or_low,or_midpoint,or_size,or_classification,or_percentile,entry_vs_or,vwap_pre_entry,entry_vs_vwap,ema9_15m,ema9_slope_15m,entry_vs_15m_ema9,ema9_5m,entry_vs_5m_ema9,rsi14_15m,rsi_regime,volume_ratio_15m,first_completed_or_breakout,minutes_to_15m_close_at_entry,prior_day_trend_direction,prior_day_trend_efficiency,prior_day_zombie_proxy,mae_points,mfe_points,move_after_5m_points,move_after_15m_points,move_after_30m_points,move_after_60m_points,trend_state,setup_label
1,1,1625258966,F.US.MNQ,MNQZ25,long,2025-11-13 09:41:55.866320-05:00,2025-11-13 09:53:10.472542-05:00,2025-11-13,11.243437033333333,25347.0,25376.0,3,3,174.0,2.22,171.78,9,11.931105333333333,09:30-10:00,False,covered,clean,25362.5,25501.5,25284.0,25392.75,217.5,wide,100.0,inside_or,25412.186315807812,below,,,unknown,25532.72098095507,below,,unknown,,none,3.0688946666666665,down,0.5252784918594687,False,66.25,40.75,-36.25,46.75,79.25,-36.25,unknown,pre_or_locked_trade
2,1,1632544631,F.US.MNQ,MNQZ25,long,2025-11-14 08:38:31.346902-05:00,2025-11-14 08:48:02.811966-05:00,2025-11-14,9.524417733333333,24682.5,24700.25,2,2,71.0,1.48,69.52,8,-51.477551633333334,pre_rth,False,outside_rth_1m,clean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outside_rth_1m
3,6,1633651534|1633651535|1633808427|1634591969|1635347553|1635435992,F.US.MNQ,MNQZ25,short,2025-11-14 09:45:59.318167-05:00,2025-11-14 12:40:25.720767-05:00,2025-11-14,174.44004333333334,25040.46875,25025.25,8,4,243.5,5.92,237.57999999999998,9,15.988636116666667,09:30-10:00,True,covered,clean,24834.5,24844.75,24626.0,24735.375,218.75,wide,100.0,above_or,24745.29028568159,above,25043.74604502878,-52.31151125719407,near,24931.417363169392,above,25.571332322609223,bear_trend_zone,2.547769378675637,none,14.011363883333333,down,0.7552552552552553,True,253.03125,221.46875,171.96875,109.71875,109.46875,-86.78125,downtrend_below_ema,ema_continuation_candidate
4,3,1638942208|1638942209|1639075687,F.US.MNQ,MNQZ25,short,2025-11-17 02:32:55.551185-05:00,2025-11-17 04:03:07.658811-05:00,2025-11-17,90.20179376666667,25337.535714285714,25330.0,7,6,105.5,5.18,100.32000000000001,2,-417.0741469166667,pre_rth,False,outside_rth_1m,clean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outside_rth_1m
5,3,1639817428|1639817429|1640490016,F.US.MNQ,MNQZ25,long,2025-11-17 07:36:06.928028-05:00,2025-11-17 09:35:14.826110-05:00,2025-11-17,119.13163469999999,25088.60714285714,25089.035714285714,7,6,6.0,5.18,0.8200000000000038,7,-113.88453286666666,pre_rth,False,outside_rth_1m,clean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outside_rth_1m
6,6,1641293988|1641568016|1641641248|1642039902|1642787892|1642838435,F.US.MNQ,MNQZ25,short,2025-11-17 10:07:07.726037-05:00,2025-11-17 11:53:39.775179-05:00,2025-11-17,106.53415236666666,25138.875,25124.291666666668,6,1,175.0,4.4399999999999995,170.56,10,37.12876728333333,10:00-11:00,True,covered,clean,25152.0,25199.25,24955.25,25077.25,244.0,wide,100.0,inside_or,25154.33065610379,below,25164.331789280815,9.042052679797052,below,25163.275868097655,below,52.94309890609746,neutral,1.7520260117529851,long,7.8712327166666665,up,0.5726591760299625,False,47.125,195.375,5.125,33.875,49.125,125.875,mixed,inverse_orb_candidate
7,6,1643911162|1644003464|1644277295|1644277296|1644300284|1644367838,F.US.MNQ,MNQZ25,long,2025-11-17 13:58:16.361276-05:00,2025-11-17 14:57:29.636304-05:00,2025-11-17,59.22125046666667,24826.075,24827.975,10,6,38.0,7.4,30.600000000000016,13,268.2726879333333,13:30-15:00,True,covered,clean,24915.25,25199.25,24955.25,25077.25,244.0,wide,100.0,below_or,25087.371788315726,below,25045.943925615553,-11.985981403886399,below,24992.50628390799,below,40.46284470096033,neutral,0.5944335268804034,long,1.7273120666666666,up,0.5726591760299625,False,66.07500000000073,89.17499999999927,30.924999999999272,59.17499999999927,12.674999999999272,-46.32500000000073,downtrend_below_ema,discretionary_or_unclassified
8,2,1648080414|1648090208,F.US.MNQ,MNQZ25,short,2025-11-18 07:00:28.630346-05:00,2025-11-18 07:03:01.293513-05:00,2025-11-18,2.5443861166666664,24781.5,24770.25,4,3,90.0,2.96,87.03999999999999,7,-149.52282756666668,pre_rth,False,outside_rth_1m,clean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outside_rth_1m
9,4,1650081757|1650402032|1651191645|1651269156,F.US.MNQ,MNQZ25,long,2025-11-18 09:59:02.632250-05:00,2025-11-18 11:13:04.108423-05:00,2025-11-18,74.02460288333333,24511.45,24535.35,5,2,239.0,3.7,235.3,9,29.043870833333337,09:30-10:00,True,covered,clean,24551.0,24832.0,24646.75,24739.375,185.25,normal,75.0,below_or,24678.300676430896,below,24812.271154764425,-39.31778869110349,below,24704.51271235186,below,29.956666588595894,bear_trend_zone,2.5806136268443134,none,0.9561291666666667,down,0.21042563366810138,False,131.45000000000073,98.79999999999927,-66.70000000000073,17.549999999999272,34.29999999999927,-53.20000000000073,downtrend_below_ema,discretionary_or_unclassified
10,1,1656492782,F.US.MNQ,MNQZ25,short,2025-11-19 05:48:50.676508-05:00,2025-11-19 07:11:23.369719-05:00,2025-11-19,82.54488685,24677.75,24675.0,1,1,5.5,0.74,4.76,5,-221.15539153333333,pre_rth,False,outside_rth_1m,clean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outside_rth_1m
11,5,1658415597|1658415598|1658536607|1658655133|1659543232,F.US.MNQ,MNQZ25,short,2025-11-19 10:01:52.772502-05:00,2025-11-19 11:24:59.720750-05:00,2025-11-19,83.11580413333333,24918.035714285714,24910.14285714286,7,4,110.5,5.18,105.32000000000001,10,31.8795417,10:00-11:00,True,covered,clean,24897.5,24758.5,24572.75,24665.625,185.75,normal,75.0,above_or,24732.496259080108,above,24734.846189811364,39.85095254715998,above,24756.06478817605,above,59.8079776718329,neutral,1.7577146026743087,long,13.1204583,down,0.2948008849557522,False,69.96428571428623,251.03571428571377,-15.964285714286234,-59.964285714286234,-26.964285714286234,134.03571428571377,uptrend_above_ema,discretionary_or_unclassified
12,6,1660429405|1660491085|1660511047|1660601396|1660651919|1660653741,F.US.MNQ,MNQZ25,long,2025-11-19 12:35:11.636672-05:00,2025-11-19 13:08:59.915179-05:00,2025-11-19,33.80464178333333,24610.0,24626.833333333332,6,1,202.0,4.4399999999999995,197.56,12,185.19394453333334,12:00-13:30,True,covered,clean,24571.75,24758.5,24572.75,24665.625,185.75,normal,75.0,inside_or,24762.141578400908,below,24705.39864528156,-18.349661320386076,below,24630.19070780839,below,42.73647502843041,neutral,0.9100631834366089,long,9.806055466666667,down,0.2948008849557522,False,102.0,58.25,-81.25,7.5,44.0,43.0,downtrend_below_ema,orb_breakout_or_retest_candidate
13,13,1665909292|1666372271|1666432338|1666539485|1666664879|1666909123|1666909124|1667257843|1667257845|1667325788|1667360652|1667428074|1667477158,F.US.MNQ,MNQZ25,short,2025-11-20 09:43:58.357097-05:00,2025-11-20 10:58:30.553235-05:00,2025-11-20,74.5366023,25238.9,25230.133333333335,15,4,263.0,11.1,251.9,9,13.972618283333333,09:30-10:00,False,covered,clean,25174.75,25242.25,25145.0,25193.625,97.25,normal,35.0,near_or_high,25190.806780910912,above,,,unknown,24901.77703897398,above,,unknown,,none,1.0273817166666666,up,0.23645833333333333,False,71.09999999999854,82.90000000000146,-6.099999999998545,-38.849999999998545,35.400000000001455,-53.349999999998545,unknown,pre_or_locked_trade
14,16,1667653771|1667732823|1667732824|1667909190|1667909191|1667937725|1667986604|1668042548|1668128182|1668271111|1668347825|1668375549|1668441712|1668587432|1668587437|1668587439,F.US.MNQ,MNQZ25,long,2025-11-20 11:06:59.381765-05:00,2025-11-20 12:00:17.118239-05:00,2025-11-20,53.2956079,24741.50625,24755.6875,40,21,1134.5,29.6,1104.9,11,96.98969608333333,11:00-12:00,True,covered,clean,25092.75,25242.25,25145.0,25193.625,97.25,normal,35.0,below_or,25217.96934517015,below,25090.168467440395,17.95788313990124,below,25193.259815145077,below,63.31027590625617,neutral,1.172301029413058,long,8.010303916666667,up,0.23645833333333333,False,229.75624999999854,370.99375000000146,321.99375000000146,204.74375000000146,90.24375000000146,-212.75624999999854,mixed,discretionary_or_unclassified
15,2,1673263251|1673344974,F.US.MNQ,MNQZ25,long,2025-11-21 05:07:15.389389-05:00,2025-11-21 05:31:55.472156-05:00,2025-11-21,24.66804611666667,23950.875,23958.375,2,1,30.0,1.48,28.520000000000003,5,-262.74351018333334,pre_rth,False,outside_rth_1m,clean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outside_rth_1m
16,2,1676225520|1676489248,F.US.MNQ,MNQZ25,long,2025-11-21 10:55:18.597736-05:00,2025-11-21 11:16:50.935435-05:00,2025-11-21,21.538961649999997,24076.375,24082.25,2,1,23.5,1.48,22.02,10,85.30996226666666,10:00-11:00,True,covered,clean,24086.75,24280.0,24152.75,24216.375,127.25,normal,60.0,below_or,24122.98676523973,below,24154.04674517941,-31.199186294848914,below,24078.379856352636,near,30.569492177626216,bear_trend_zone,1.5122881044361614,short,4.690037733333333,down,0.885997521685254,True,141.875,21.875,-47.125,-27.375,47.125,206.875,downtrend_below_ema,discretionary_or_unclassified
17,14,1676781972|1676792316|1676970425|1677404755|1677698895|1677774133|1677774134|1677774135|1677774136|1677774137|1677774138|1677774139|1677792839|1677832782,F.US.MNQ,MNQZ25,short,2025-11-21 11:41:57.420672-05:00,2025-11-21 13:56:57.633881-05:00,2025-11-21,135.00355348333332,24483.76388888889,24478.296296296296,54,47,590.5,39.96,550.54,11,131.9570112,11:00-12:00,True,covered,clean,24215.25,24280.0,24152.75,24216.375,127.25,normal,60.0,above_or,24113.434544349988,above,24126.67593353186,12.206016617037676,above,24119.825956256624,above,41.86365245520227,neutral,0.9321653742048754,short,3.0429888000000003,down,0.885997521685254,True,74.2361111111095,299.0138888888905,273.5138888888905,170.7638888888905,108.2638888888905,116.0138888888905,uptrend_above_ema,discretionary_or_unclassified
18,1,1681356843,F.US.MNQ,MNQZ25,short,2025-11-24 06:57:06.340117-05:00,2025-11-24 07:10:37.121982-05:00,2025-11-24,13.513031083333335,24449.0,24445.0,1,1,8.0,0.74,7.26,6,-152.89433138333334,pre_rth,False,outside_rth_1m,clean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outside_rth_1m
19,12,1682399184|1682527226|1683064096|1683768385|1684872275|1684872276|1684872278|1684872279|1684872280|1684872281|1686079637|1686079638,F.US.MNQ,MNQZ25,short,2025-11-24 09:43:58.618162-05:00,2025-11-24 15:50:03.868563-05:00,2025-11-24,366.08750668333334,24900.493243243243,24899.25,37,31,92.0,27.38,64.61999999999998,9,13.976969366666667,09:30-10:00,False,covered,clean,24681.75,24722.25,24513.5,24617.875,208.75,wide,85.0,above_or,24647.33352178529,above,,,unknown,24487.81487515382,above,,unknown,,none,1.0230306333333334,up,0.1654837504669406,False,67.75675675675666,321.24324324324334,231.74324324324334,253.49324324324334,192.99324324324334,95.74324324324334,unknown,pre_or_locked_trade
20,1,1688310414,F.US.MNQ,MNQZ25,short,2025-11-25 03:08:21.399178-05:00,2025-11-25 03:46:02.269255-05:00,2025-11-25,37.68116795,24905.25,24901.5,1,1,7.5,0.74,6.76,3,-381.6433470333333,pre_rth,False,outside_rth_1m,clean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outside_rth_1m
