idea_id,entry_time_et,exit_time_et,direction,fill_count,net_pnl,setup_label,time_bucket,or_classification,entry_vs_or,first_completed_or_breakout,entry_vs_vwap,entry_vs_15m_ema9,rsi_regime,trend_state,volume_ratio_15m,prior_day_trend_direction,prior_day_zombie_proxy,minutes_to_15m_close_at_entry,mae_points,mfe_points,move_after_15m_points,move_after_30m_points
13,2025-11-20 09:43:58.357097-05:00,2025-11-20 10:58:30.553235-05:00,short,13,251.9,pre_or_locked_trade,09:30-10:00,normal,near_or_high,none,above,unknown,unknown,unknown,,up,False,1.0273817166666666,71.09999999999854,82.90000000000146,-38.849999999998545,35.400000000001455
138,2026-03-05 10:19:26.530576-05:00,2026-03-05 11:13:16.506398-05:00,short,3,248.27999999999997,discretionary_or_unclassified,10:00-11:00,normal,inside_or,long,below,below,neutral,mixed,2.2892813744076967,up,True,10.557823733333333,59.75,137.25,92.25,27.25
148,2026-03-12 09:51:49.843583-04:00,2026-03-12 10:30:06.985459-04:00,short,2,246.51999999999998,discretionary_or_unclassified,09:30-10:00,tight,below_or,none,below,below,bear_trend_zone,downtrend_below_ema,2.632348812813049,down,False,8.169273616666667,25.875,119.625,22.875,72.625
126,2026-02-20 10:19:17.789331-05:00,2026-02-20 12:05:48.696787-05:00,short,3,237.78,discretionary_or_unclassified,10:00-11:00,wide,above_or,none,above,above,neutral,uptrend_above_ema,2.9293141126108813,up,False,10.70351115,80.16666666666788,151.58333333333212,120.08333333333212,-15.66666666666788
3,2025-11-14 09:45:59.318167-05:00,2025-11-14 12:40:25.720767-05:00,short,6,237.57999999999998,ema_continuation_candidate,09:30-10:00,wide,above_or,none,above,near,bear_trend_zone,downtrend_below_ema,2.547769378675637,down,True,14.011363883333333,253.03125,221.46875,109.71875,109.46875
9,2025-11-18 09:59:02.632250-05:00,2025-11-18 11:13:04.108423-05:00,long,4,235.3,discretionary_or_unclassified,09:30-10:00,normal,below_or,none,below,below,bear_trend_zone,downtrend_below_ema,2.5806136268443134,down,False,0.9561291666666667,131.45000000000073,98.79999999999927,17.549999999999272,34.29999999999927
75,2026-01-09 10:30:11.675840-05:00,2026-01-09 10:44:11.632417-05:00,short,3,225.78,inverse_orb_candidate,10:00-11:00,wide,above_or,long,above,above,bull_trend_zone,uptrend_above_ema,2.22404562528859,down,False,14.805402666666668,23.0,95.0,78.25,33.25
68,2026-01-02 10:30:15.713787-05:00,2026-01-02 10:33:36.323736-05:00,long,1,219.52,discretionary_or_unclassified,10:00-11:00,normal,below_or,short,below,below,neutral,downtrend_below_ema,3.058592357122807,down,True,14.73810355,14.25,64.5,96.0,-122.5
121,2026-02-13 10:45:00.980024-05:00,2026-02-13 13:03:47.047578-05:00,short,5,214.08,inverse_orb_candidate,10:00-11:00,wide,above_or,long,above,above,neutral,mixed,1.5147378869941353,down,True,14.983666266666667,82.8125,190.9375,87.9375,76.4375
165,2026-03-25 09:50:12.733886-04:00,2026-03-25 13:51:15.404557-04:00,short,8,208.58,discretionary_or_unclassified,09:30-10:00,tight,below_or,none,below,above,neutral,uptrend_above_ema,2.404368585070189,down,False,9.787768566666667,123.25,108.75,-3.25,-82.75
108,2026-02-04 09:49:26.339423-05:00,2026-02-04 11:03:08.174913-05:00,short,2,204.01999999999998,discretionary_or_unclassified,09:30-10:00,normal,below_or,none,below,below,neutral,downtrend_below_ema,2.1778133283973795,down,True,10.561009616666666,154.125,142.875,66.375,21.375
164,2026-03-24 09:57:41.767244-04:00,2026-03-24 13:32:59.326345-04:00,short,5,201.08,discretionary_or_unclassified,09:30-10:00,wide,inside_or,none,above,below,bear_trend_zone,downtrend_below_ema,2.5025844305117753,down,False,2.3038792666666668,100.09375,119.40625,64.65625,47.65625
184,2026-04-06 10:01:03.670989-04:00,2026-04-06 10:04:57.842329-04:00,short,1,200.26,discretionary_or_unclassified,10:00-11:00,normal,above_or,long,above,above,bull_trend_zone,uptrend_above_ema,2.0704320017604414,up,True,13.93881685,11.5,111.75,24.25,8.25
12,2025-11-19 12:35:11.636672-05:00,2025-11-19 13:08:59.915179-05:00,long,6,197.56,orb_breakout_or_retest_candidate,12:00-13:30,normal,inside_or,long,below,below,neutral,downtrend_below_ema,0.9100631834366089,down,False,9.806055466666667,102.0,58.25,7.5,44.0
81,2026-01-14 10:00:18.046975-05:00,2026-01-14 10:12:55.647649-05:00,long,2,193.52,inverse_orb_candidate,10:00-11:00,wide,below_or,short,below,below,bear_trend_zone,downtrend_below_ema,2.5362704691647515,down,False,14.699217083333334,48.0,84.75,93.0,2.5
156,2026-03-19 11:10:56.061765-04:00,2026-03-19 13:33:31.683148-04:00,short,4,192.54,discretionary_or_unclassified,11:00-12:00,normal,above_or,long,above,above,bear_trend_zone,mixed,0.7815222375057314,down,True,4.06563725,-116.75,301.25,222.5,252.5
1,2025-11-13 09:41:55.866320-05:00,2025-11-13 09:53:10.472542-05:00,long,1,171.78,pre_or_locked_trade,09:30-10:00,wide,inside_or,none,below,unknown,unknown,unknown,,down,False,3.0688946666666665,66.25,40.75,46.75,79.25
178,2026-03-31 12:39:29.738130-04:00,2026-03-31 12:40:00.837701-04:00,long,1,171.52,orb_breakout_or_retest_candidate,12:00-13:30,tight,above_or,long,above,above,neutral,uptrend_above_ema,0.6886635861225727,down,True,5.504364499999999,15.75,198.25,144.0,149.25
