row_id,symbol,contract,direction,entry_time_et,exit_time_et,entry_price,exit_price,size,gross_pnl,fees,net_pnl,source_position_size
1625258966,F.US.MNQ,MNQZ25,long,2025-11-13 09:41:55.866320-05:00,2025-11-13 09:53:10.472542-05:00,25347.0,25376.0,3,174.0,2.22,171.78,-3.0
1632544631,F.US.MNQ,MNQZ25,long,2025-11-14 08:38:31.346902-05:00,2025-11-14 08:48:02.811966-05:00,24682.5,24700.25,2,71.0,1.48,69.52,-2.0
1633651534,F.US.MNQ,MNQZ25,short,2025-11-14 09:45:59.318167-05:00,2025-11-14 10:01:16.072740-05:00,24844.0,24915.25,1,-142.5,0.74,-143.24,1.0
1633651535,F.US.MNQ,MNQZ25,short,2025-11-14 09:59:54.429684-05:00,2025-11-14 10:01:16.072766-05:00,24951.75,24915.25,3,219.0,2.22,216.78,3.0
1633808427,F.US.MNQ,MNQZ25,short,2025-11-14 10:06:39.013163-05:00,2025-11-14 10:08:02.195892-05:00,24957.0,24932.25,1,49.5,0.74,48.76,1.0
1634591969,F.US.MNQ,MNQZ25,short,2025-11-14 10:51:53.811590-05:00,2025-11-14 10:56:36.712194-05:00,25158.75,25104.0,1,109.5,0.74,108.76,1.0
1635347553,F.US.MNQ,MNQZ25,short,2025-11-14 12:05:04.281886-05:00,2025-11-14 12:26:39.808092-05:00,25240.75,25240.75,1,0.0,0.74,-0.74,1.0
1635435992,F.US.MNQ,MNQZ25,short,2025-11-14 12:40:10.568240-05:00,2025-11-14 12:40:25.720767-05:00,25268.0,25264.0,1,8.0,0.74,7.26,1.0
1638942208,F.US.MNQ,MNQZ25,short,2025-11-17 02:32:55.551185-05:00,2025-11-17 03:15:57.615470-05:00,25317.75,25333.0,1,-30.5,0.74,-31.24,1.0
1638942209,F.US.MNQ,MNQZ25,short,2025-11-17 03:15:04.273548-05:00,2025-11-17 03:15:57.615504-05:00,25337.5,25333.0,5,45.0,3.7,41.3,5.0
1639075687,F.US.MNQ,MNQZ25,short,2025-11-17 03:57:03.096410-05:00,2025-11-17 04:03:07.658811-05:00,25357.5,25312.0,1,91.0,0.74,90.26,1.0
1639817428,F.US.MNQ,MNQZ25,long,2025-11-17 07:36:06.928028-05:00,2025-11-17 08:16:27.502409-05:00,25158.5,25087.25,1,-142.5,0.74,-143.24,-1.0
1639817429,F.US.MNQ,MNQZ25,long,2025-11-17 08:11:39.581343-05:00,2025-11-17 08:16:27.502450-05:00,25070.5,25087.25,5,167.5,3.7,163.8,-5.0
1640490016,F.US.MNQ,MNQZ25,long,2025-11-17 08:18:23.632116-05:00,2025-11-17 09:35:14.826110-05:00,25109.25,25099.75,1,-19.0,0.74,-19.74,-1.0
1641293988,F.US.MNQ,MNQZ25,short,2025-11-17 10:07:07.726037-05:00,2025-11-17 10:07:52.889410-05:00,25133.75,25115.5,1,36.5,0.74,35.76,1.0
1641568016,F.US.MNQ,MNQZ25,short,2025-11-17 10:14:40.083149-05:00,2025-11-17 10:20:06.862334-05:00,25115.5,25063.25,1,104.5,0.74,103.76,1.0
1641641248,F.US.MNQ,MNQZ25,short,2025-11-17 10:23:36.484330-05:00,2025-11-17 10:24:11.186883-05:00,25115.75,25111.25,1,9.0,0.74,8.26,1.0
1642039902,F.US.MNQ,MNQZ25,short,2025-11-17 10:48:38.687607-05:00,2025-11-17 10:49:10.800656-05:00,25142.0,25137.5,1,9.0,0.74,8.26,1.0
1642787892,F.US.MNQ,MNQZ25,short,2025-11-17 11:46:05.312677-05:00,2025-11-17 11:47:37.144363-05:00,25148.0,25144.0,1,8.0,0.74,7.26,1.0
1642838435,F.US.MNQ,MNQZ25,short,2025-11-17 11:52:25.233332-05:00,2025-11-17 11:53:39.775179-05:00,25178.25,25174.25,1,8.0,0.74,7.26,1.0
1643911162,F.US.MNQ,MNQZ25,long,2025-11-17 13:58:16.361276-05:00,2025-11-17 14:01:06.618882-05:00,24901.5,24898.0,1,-7.0,0.74,-7.74,-1.0
1644003464,F.US.MNQ,MNQZ25,long,2025-11-17 14:02:07.467570-05:00,2025-11-17 14:12:10.443504-05:00,24897.25,24899.0,1,3.5,0.74,2.76,-1.0
1644277295,F.US.MNQ,MNQZ25,long,2025-11-17 14:14:22.352856-05:00,2025-11-17 14:45:05.109536-05:00,24883.5,24821.25,1,-124.5,0.74,-125.24,-1.0
1644277296,F.US.MNQ,MNQZ25,long,2025-11-17 14:39:02.346780-05:00,2025-11-17 14:45:05.109567-05:00,24807.0,24821.25,5,142.5,3.7,138.8,-5.0
1644300284,F.US.MNQ,MNQZ25,long,2025-11-17 14:47:16.854490-05:00,2025-11-17 14:47:32.020338-05:00,24777.0,24784.25,1,14.5,0.74,13.76,-1.0
1644367838,F.US.MNQ,MNQZ25,long,2025-11-17 14:57:21.553725-05:00,2025-11-17 14:57:29.636304-05:00,24766.5,24771.0,1,9.0,0.74,8.26,-1.0
1648080414,F.US.MNQ,MNQZ25,short,2025-11-18 07:00:28.630346-05:00,2025-11-18 07:00:59.461310-05:00,24784.75,24777.5,3,43.5,2.22,41.28,3.0
1648090208,F.US.MNQ,MNQZ25,short,2025-11-18 07:02:13.968877-05:00,2025-11-18 07:03:01.293513-05:00,24771.75,24748.5,1,46.5,0.74,45.76,1.0
