idea_id,fill_count,source_row_ids,symbol,contract,direction,entry_time_et,exit_time_et,trade_date_et,duration_minutes,weighted_entry_price,weighted_exit_price,contract_turnover,max_overlapping_contracts,gross_pnl,fees,net_pnl
181,3,2384975959|2384983138|2385594007,F.US.MNQ,MNQM26,short,2026-04-01 10:55:21.932472-04:00,2026-04-01 12:32:11.247890-04:00,2026-04-01,96.82192363333334,24262.166666666668,24256.416666666668,3,2,34.5,2.2199999999999998,32.28
182,2,2393247887|2395100829,F.US.MNQ,MNQM26,short,2026-04-02 10:32:47.417127-04:00,2026-04-02 13:52:14.996677-04:00,2026-04-02,199.45965916666668,24059.0,24051.625,2,1,29.5,1.48,28.02000000000001
183,2,2400955282|2401019705,F.US.MNQ,MNQM26,short,2026-04-06 04:39:21.662613-04:00,2026-04-06 07:00:05.363692-04:00,2026-04-06,140.72835131666668,24349.625,24324.25,2,1,101.5,1.48,100.02000000000001
184,1,2402548907,F.US.MNQ,MNQM26,short,2026-04-06 10:01:03.670989-04:00,2026-04-06 10:04:57.842329-04:00,2026-04-06,3.9028556666666665,24392.0,24291.5,1,1,201.0,0.74,200.26
185,1,2409068497,F.US.MNQ,MNQM26,short,2026-04-07 06:28:12.707337-04:00,2026-04-07 07:30:45.407458-04:00,2026-04-07,62.545002016666665,24337.25,24225.75,1,1,223.0,0.74,222.26
186,6,2412436413|2412859815|2412859816|2412961187|2412992341|2413063939,F.US.MNQ,MNQM26,short,2026-04-07 11:51:23.887394-04:00,2026-04-07 13:32:44.579797-04:00,2026-04-07,101.34487338333334,24178.59375,24191.53125,8,4,-207.0,5.92,-212.92
187,19,2414976666|2414976667|2414976668|2414978292|2414978293|2414978294|2414978295|2414993991|2415002356|2415018245|2415048900|2416160078|2416160079|2416160080|2416160081|2416160082|2416160083|2416160084|2416160085,F.US.MNQ,MNQM26,short,2026-04-07 18:40:26.151957-04:00,2026-04-07 23:24:16.818486-04:00,2026-04-07,283.84444214999996,25075.587837837837,25075.20945945946,74,44,56.0,54.760000000000005,1.2399999999999611
188,2,2417932830|2419673012,F.US.MNQ,MNQM26,short,2026-04-08 04:39:09.122328-04:00,2026-04-08 10:52:42.706296-04:00,2026-04-08,373.5597328,25115.875,25106.125,2,1,39.0,1.48,37.52000000000001
189,2,2426923822|2427839492,F.US.MNQ,MNQM26,long,2026-04-09 09:54:04.611262-04:00,2026-04-09 11:21:42.939235-04:00,2026-04-09,87.63879955,25036.75,25024.0,2,1,-51.0,1.48,-52.480000000000004
190,3,2428622246|2428650758|2428667902,F.US.MNQ,MNQM26,short,2026-04-09 12:17:24.183587-04:00,2026-04-09 12:33:04.301573-04:00,2026-04-09,15.6686331,25217.833333333332,25207.583333333332,3,1,61.5,2.2199999999999998,59.28
