setup_label,ideas,replica_fired,human_1c_sum,replica_same_time_sum,replica_rule_sum,human_1c_mean,replica_same_time_mean,replica_rule_mean,human_1c_winrate,replica_same_time_winrate,replica_rule_winrate
discretionary_or_unclassified,85,63,2860.1541045228164,-9446.92,-1227.4200000000003,33.648871817915484,-149.95111111111112,-19.48285714285715,0.9058823529411765,0.2698412698412698,0.23809523809523808
ema_continuation_candidate,4,4,153.23134615383663,186.14,290.64,38.307836538459156,46.535,72.66,0.75,0.75,0.75
inverse_orb_candidate,13,11,347.1109523809483,-3045.24,-505.74,26.700842490842174,-276.84,-45.97636363636364,0.9230769230769231,0.09090909090909091,0.09090909090909091
orb_breakout_or_retest_candidate,21,21,350.8454395604197,-302.64,310.8599999999999,16.70692569335332,-14.411428571428571,14.802857142857139,0.8095238095238095,0.38095238095238093,0.42857142857142855
pre_or_locked_trade,15,0,427.36163152577353,0.0,0.0,28.490775435051567,,,0.9333333333333333,,
