idea_id,direction,setup_label,human_entry_ts,human_entry_price,human_1c_net_pnl,mech_rule,mech_signal_ts,mech_entry_price,delta_minutes,delta_price_signed,or_high,or_low,or_size,or_class
1,long,pre_or_locked_trade,2025-11-13 09:41:55.866320-05:00,25347.0,56.66,no_signal,,,,,25501.5,25284.0,217.5,wide
3,short,ema_continuation_candidate,2025-11-14 09:45:59.318167-05:00,25040.46875,29.0975,ema_continuation,2025-11-14 13:54:00-05:00,25186.25,-248.01136388333333,145.78125,24844.75,24626.0,218.75,wide
6,short,inverse_orb_candidate,2025-11-17 10:07:07.726037-05:00,25138.875,27.82666666666424,inverse_orb,2025-11-17 10:01:00-05:00,25190.0,6.1287672833333335,51.125,25199.25,24955.25,244.0,wide
7,long,discretionary_or_unclassified,2025-11-17 13:58:16.361276-05:00,24826.075,2.4599999999956346,orb_break,2025-11-17 09:47:00-05:00,25220.5,251.27268793333332,-394.4249999999993,25199.25,24955.25,244.0,wide
9,long,discretionary_or_unclassified,2025-11-18 09:59:02.632250-05:00,24511.45,46.45999999999563,inverse_orb,2025-11-18 09:49:00-05:00,24624.0,10.043870833333333,-112.54999999999927,24832.0,24646.75,185.25,normal
11,short,discretionary_or_unclassified,2025-11-19 10:01:52.772502-05:00,24918.035714285714,14.445714285710128,inverse_orb,2025-11-19 09:47:00-05:00,24756.5,14.8795417,-161.53571428571377,24758.5,24572.75,185.75,normal
12,long,orb_breakout_or_retest_candidate,2025-11-19 12:35:11.636672-05:00,24610.0,32.32666666666424,orb_break,2025-11-19 09:46:00-05:00,24739.25,169.19394453333334,-129.25,24758.5,24572.75,185.75,normal
13,short,pre_or_locked_trade,2025-11-20 09:43:58.357097-05:00,25238.9,16.19333333333285,inverse_orb,2025-11-20 09:50:00-05:00,25236.5,-6.0273817166666666,-2.400000000001455,25242.25,25145.0,97.25,normal
14,long,discretionary_or_unclassified,2025-11-20 11:06:59.381765-05:00,24741.50625,27.02250000000291,orb_break,2025-11-20 09:48:00-05:00,25245.5,78.98969608333333,-503.99375000000146,25242.25,25145.0,97.25,normal
16,long,discretionary_or_unclassified,2025-11-21 10:55:18.597736-05:00,24076.375,10.41,inverse_orb,2025-11-21 09:49:00-05:00,24195.0,66.30996226666667,-118.625,24280.0,24152.75,127.25,normal
17,short,discretionary_or_unclassified,2025-11-21 11:41:57.420672-05:00,24483.76388888889,9.595185185189766,orb_break,2025-11-21 09:46:00-05:00,24112.5,115.9570112,-371.2638888888905,24280.0,24152.75,127.25,normal
19,short,pre_or_locked_trade,2025-11-24 09:43:58.618162-05:00,24900.493243243243,1.146486486486683,inverse_orb,2025-11-24 10:10:00-05:00,24705.5,-26.023030633333335,-194.99324324324334,24722.25,24513.5,208.75,wide
22,short,pre_or_locked_trade,2025-11-25 09:39:41.662333-05:00,24802.7,18.66,orb_break,2025-11-25 09:46:00-05:00,24685.0,-6.305627783333334,-117.70000000000073,24882.0,24719.5,162.5,normal
24,short,pre_or_locked_trade,2025-11-26 09:30:34.230578-05:00,25232.916666666668,38.66,inverse_orb,2025-11-26 09:52:00-05:00,25238.0,-21.429490366666666,5.083333333332121,25271.0,25189.25,81.75,tight
25,short,discretionary_or_unclassified,2025-11-26 11:28:28.900353-05:00,25328.625,9.493333333335759,inverse_orb,2025-11-26 09:52:00-05:00,25238.0,96.48167255,-90.625,25271.0,25189.25,81.75,tight
27,short,pre_or_locked_trade,2025-11-28 09:39:32.875381-05:00,25408.722222222223,14.604444444445253,inverse_orb,2025-11-28 11:21:00-05:00,25411.0,-101.45207698333334,2.2777777777773736,25421.5,25329.5,92.0,tight
30,short,ema_continuation_candidate,2025-12-01 10:02:09.927206-05:00,25387.5,21.81384615383664,inverse_orb,2025-12-01 10:31:00-05:00,25324.75,-28.834546566666667,-62.75,25319.75,25209.0,110.75,normal
31,short,discretionary_or_unclassified,2025-12-01 13:54:24.917903-05:00,25483.0,44.66,inverse_orb,2025-12-01 10:31:00-05:00,25324.75,203.41529838333332,-158.25,25319.75,25209.0,110.75,normal
36,short,discretionary_or_unclassified,2025-12-04 13:07:43.771385-05:00,25579.0,-0.3400000000000001,orb_break,2025-12-04 10:26:00-05:00,25541.5,161.72952308333333,-37.5,25713.25,25550.5,162.75,normal
37,short,discretionary_or_unclassified,2025-12-05 10:06:10.190509-05:00,25832.0,30.16,inverse_orb,2025-12-05 09:57:00-05:00,25785.5,9.169841816666667,-46.5,25777.75,25660.5,117.25,normal
38,long,orb_breakout_or_retest_candidate,2025-12-05 11:03:18.216427-05:00,25735.416666666668,9.826666666664241,orb_break,2025-12-05 09:54:00-05:00,25795.25,69.30360711666667,-59.83333333333212,25777.75,25660.5,117.25,normal
39,long,orb_breakout_or_retest_candidate,2025-12-05 14:47:39.443075-05:00,25706.25,22.66,orb_break,2025-12-05 09:54:00-05:00,25795.25,293.65738458333334,-89.0,25777.75,25660.5,117.25,normal
41,long,discretionary_or_unclassified,2025-12-08 10:15:08.815176-05:00,25644.377717391304,7.301304347824189,ema_continuation,2025-12-08 09:49:00-05:00,25758.75,26.1469196,-114.37228260869597,25860.75,25768.0,92.75,tight
42,short,discretionary_or_unclassified,2025-12-09 12:04:06.941905-05:00,25715.75,17.535,ema_continuation,2025-12-09 09:50:00-05:00,25625.75,134.11569841666667,-90.0,25653.25,25560.0,93.25,tight
44,long,discretionary_or_unclassified,2025-12-10 09:57:57.944073-05:00,25543.13349514563,2.4172815534003895,orb_break,2025-12-10 09:48:00-05:00,25661.0,9.96573455,-117.86650485436985,25663.25,25567.0,96.25,normal
45,short,discretionary_or_unclassified,2025-12-10 13:18:53.667488-05:00,25774.85714285714,13.302857142855064,inverse_orb,2025-12-10 09:49:00-05:00,25634.75,209.89445813333333,-140.1071428571413,25663.25,25567.0,96.25,normal
47,long,pre_or_locked_trade,2025-12-11 09:44:16.017757-05:00,25435.629213483146,12.570112359546474,inverse_orb,2025-12-11 10:13:00-05:00,25552.5,-28.733037383333333,-116.87078651685442,25649.75,25555.75,94.0,tight
49,short,discretionary_or_unclassified,2025-12-16 10:09:46.311164-05:00,25338.75,25.16,inverse_orb,2025-12-16 09:54:00-05:00,25094.0,15.771852733333333,-244.75,25106.5,24966.0,140.5,normal
51,long,discretionary_or_unclassified,2025-12-17 10:46:09.623144-05:00,25114.25,38.91,inverse_orb,2025-12-17 09:50:00-05:00,25060.75,56.160385733333335,53.5,25205.75,25059.5,146.25,normal
55,short,discretionary_or_unclassified,2025-12-23 09:56:46.159842-05:00,25766.253472222223,7.916944444445253,inverse_orb,2025-12-23 09:50:00-05:00,25724.75,6.7693307,-41.503472222222626,25737.5,25638.0,99.5,normal
56,short,discretionary_or_unclassified,2025-12-23 15:49:04.569539-05:00,25803.75,1.66,inverse_orb,2025-12-23 09:50:00-05:00,25724.75,359.07615898333336,-79.0,25737.5,25638.0,99.5,normal
57,short,discretionary_or_unclassified,2025-12-24 10:09:18.634190-05:00,25832.4375,4.535,inverse_orb,2025-12-24 10:23:00-05:00,25814.25,-13.689430166666666,-18.1875,25827.5,25781.75,45.75,tight
58,short,discretionary_or_unclassified,2025-12-26 09:45:25.940260-05:00,25931.0,29.16,orb_break,2025-12-26 10:02:00-05:00,25842.0,-16.567662333333335,-89.0,25932.5,25864.5,68.0,tight
59,long,discretionary_or_unclassified,2025-12-26 10:25:55.595369-05:00,25869.5,16.16,ema_continuation,2025-12-26 09:57:00-05:00,25877.75,28.92658948333333,-8.25,25932.5,25864.5,68.0,tight
61,short,discretionary_or_unclassified,2025-12-29 10:08:40.806606-05:00,25690.5,9.66,orb_break,2025-12-29 12:27:00-05:00,25660.0,-138.3198899,-30.5,25818.75,25664.25,154.5,wide
62,short,orb_breakout_or_retest_candidate,2025-12-29 13:01:18.006874-05:00,25688.25,0.6599999999999999,orb_break,2025-12-29 12:27:00-05:00,25660.0,34.30011456666667,-28.25,25818.75,25664.25,154.5,wide
