date,rule,signal_ts,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,net_pnl
2024-03-04,tier1_short,2024-03-04 10:28:00-05:00,2024-03-04 10:29:00-05:00,18528.75,18568.75,18478.75,2024-03-04 10:37:00-05:00,18571.25,stop,-86.34
2024-03-06,tier1_short,2024-03-06 10:52:00-05:00,2024-03-06 10:53:00-05:00,18307.75,18347.75,18257.75,2024-03-06 11:02:00-05:00,18350.25,stop,-86.34
2024-03-13,tier1_short,2024-03-13 10:35:00-04:00,2024-03-13 10:36:00-04:00,18346.0,18386.0,18296.0,2024-03-13 11:42:00-04:00,18298.5,target,93.66
2024-03-14,tier1_short,2024-03-14 10:32:00-04:00,2024-03-14 10:33:00-04:00,18317.75,18357.75,18267.75,2024-03-14 11:23:00-04:00,18270.25,target,93.66
2024-04-02,tier1_short,2024-04-02 10:56:00-04:00,2024-04-02 10:57:00-04:00,18215.0,18255.0,18165.0,2024-04-02 11:12:00-04:00,18257.5,stop,-86.34
2024-04-09,tier1_short,2024-04-09 10:06:00-04:00,2024-04-09 10:07:00-04:00,18337.5,18377.5,18287.5,2024-04-09 10:28:00-04:00,18290.0,target,93.66
2024-04-15,tier1_short,2024-04-15 10:09:00-04:00,2024-04-15 10:10:00-04:00,18239.0,18279.0,18189.0,2024-04-15 10:39:00-04:00,18191.5,target,93.66
2024-04-24,tier1_short,2024-04-24 10:41:00-04:00,2024-04-24 10:42:00-04:00,17700.25,17740.25,17650.25,2024-04-24 11:08:00-04:00,17652.75,target,93.66
2024-05-03,tier1_short,2024-05-03 10:25:00-04:00,2024-05-03 10:26:00-04:00,17902.25,17942.25,17852.25,2024-05-03 10:28:00-04:00,17944.75,stop,-86.34
2024-05-10,tier1_short,2024-05-10 10:20:00-04:00,2024-05-10 10:21:00-04:00,18244.75,18284.75,18194.75,2024-05-10 10:54:00-04:00,18197.25,target,93.66
2024-05-23,tier1_short,2024-05-23 10:42:00-04:00,2024-05-23 10:43:00-04:00,18893.0,18933.0,18843.0,2024-05-23 10:53:00-04:00,18845.5,target,93.66
2024-05-28,tier1_short,2024-05-28 10:00:00-04:00,2024-05-28 10:01:00-04:00,18849.75,18889.75,18799.75,2024-05-28 10:05:00-04:00,18892.25,stop,-86.34
2024-06-03,tier1_short,2024-06-03 10:01:00-04:00,2024-06-03 10:02:00-04:00,18674.75,18714.75,18624.75,2024-06-03 10:48:00-04:00,18627.25,target,93.66
2024-06-13,tier1_short,2024-06-13 10:11:00-04:00,2024-06-13 10:12:00-04:00,19604.0,19644.0,19554.0,2024-06-13 10:23:00-04:00,19556.5,target,93.66
