date,clean,quality,or_class,eligible,reason,or_high,or_low,or_size,breakout_ts,signal_ts,entry_ts,raw_entry,entry_price,stop_price,target_price,exit_ts,raw_exit,exit_price,exit_reason,net_pnl,vwap_at_signal,close_minus_vwap
2023-05-25,False,late_start,unknown,False,late_start,,,,,,,,,,,,,,,,,
2023-05-26,False,late_start,unknown,False,late_start,,,,,,,,,,,,,,,,,
2023-05-31,False,zero_volume_or,unknown,False,zero_volume_or,,,,,,,,,,,,,,,,,
2023-06-01,False,late_start,unknown,False,late_start,,,,,,,,,,,,,,,,,
2023-06-06,False,zero_volume_or,unknown,False,zero_volume_or,,,,,,,,,,,,,,,,,
2023-06-12,False,late_start,unknown,False,late_start,,,,,,,,,,,,,,,,,
2023-06-14,False,late_start,unknown,False,late_start,,,,,,,,,,,,,,,,,
2023-06-15,False,late_start,unknown,False,late_start,,,,,,,,,,,,,,,,,
2023-06-16,False,zero_volume_or,unknown,False,zero_volume_or,,,,,,,,,,,,,,,,,
2023-06-26,False,late_start,unknown,False,late_start,,,,,,,,,,,,,,,,,
2023-06-27,False,late_start,unknown,False,late_start,,,,,,,,,,,,,,,,,
2023-06-30,False,late_start,unknown,False,late_start,,,,,,,,,,,,,,,,,
2023-07-03,False,zero_volume_or,unknown,False,zero_volume_or,,,,,,,,,,,,,,,,,
2023-07-05,False,late_start,unknown,False,late_start,,,,,,,,,,,,,,,,,
2023-07-13,False,zero_volume_or,unknown,False,zero_volume_or,,,,,,,,,,,,,,,,,
2023-07-18,False,late_start,unknown,False,late_start,,,,,,,,,,,,,,,,,
2023-07-19,False,zero_volume_or,unknown,False,zero_volume_or,,,,,,,,,,,,,,,,,
2023-07-20,False,zero_volume_or,unknown,False,zero_volume_or,,,,,,,,,,,,,,,,,
2023-08-08,False,late_start,unknown,False,late_start,,,,,,,,,,,,,,,,,
2023-08-09,False,late_start,unknown,False,late_start,,,,,,,,,,,,,,,,,
2023-08-15,False,late_start,unknown,False,late_start,,,,,,,,,,,,,,,,,
2023-08-16,False,zero_volume_or,unknown,False,zero_volume_or,,,,,,,,,,,,,,,,,
2023-08-17,False,late_start,unknown,False,late_start,,,,,,,,,,,,,,,,,
2023-08-24,False,late_start,unknown,False,late_start,,,,,,,,,,,,,,,,,
2023-08-29,False,late_start,unknown,False,late_start,,,,,,,,,,,,,,,,,
2023-08-31,False,late_start,unknown,False,late_start,,,,,,,,,,,,,,,,,
2023-09-01,False,zero_volume_or,unknown,False,zero_volume_or,,,,,,,,,,,,,,,,,
2023-09-06,False,late_start,unknown,False,late_start,,,,,,,,,,,,,,,,,
2023-09-08,False,late_start,unknown,False,late_start,,,,,,,,,,,,,,,,,
2023-09-12,False,late_start,unknown,False,late_start,,,,,,,,,,,,,,,,,
2023-09-13,False,zero_volume_or,unknown,False,zero_volume_or,,,,,,,,,,,,,,,,,
2023-09-14,False,late_start,unknown,False,late_start,,,,,,,,,,,,,,,,,
2023-09-15,False,late_start,unknown,False,late_start,,,,,,,,,,,,,,,,,
2023-09-18,False,zero_volume_or,unknown,False,zero_volume_or,,,,,,,,,,,,,,,,,
2023-09-19,False,zero_volume_or,unknown,False,zero_volume_or,,,,,,,,,,,,,,,,,
2023-09-20,False,zero_volume_or,unknown,False,zero_volume_or,,,,,,,,,,,,,,,,,
2023-09-21,False,zero_volume_or,unknown,False,zero_volume_or,,,,,,,,,,,,,,,,,
2023-09-22,False,zero_volume_or,unknown,False,zero_volume_or,,,,,,,,,,,,,,,,,
2023-09-25,False,zero_volume_or,unknown,False,zero_volume_or,,,,,,,,,,,,,,,,,
2023-09-26,False,zero_volume_or,unknown,False,zero_volume_or,,,,,,,,,,,,,,,,,
2023-09-27,False,zero_volume_or,unknown,False,zero_volume_or,,,,,,,,,,,,,,,,,
2023-09-28,False,late_start,unknown,False,late_start,,,,,,,,,,,,,,,,,
2023-09-29,False,zero_volume_or,unknown,False,zero_volume_or,,,,,,,,,,,,,,,,,
2023-10-03,False,late_start,unknown,False,late_start,,,,,,,,,,,,,,,,,
2023-10-04,False,late_start,unknown,False,late_start,,,,,,,,,,,,,,,,,
2023-10-05,False,late_start,unknown,False,late_start,,,,,,,,,,,,,,,,,
2023-10-06,False,zero_volume_or,unknown,False,zero_volume_or,,,,,,,,,,,,,,,,,
2023-10-09,False,late_start,unknown,False,late_start,,,,,,,,,,,,,,,,,
2023-10-10,False,zero_volume_or,unknown,False,zero_volume_or,,,,,,,,,,,,,,,,,
2023-10-11,False,zero_volume_or,unknown,False,zero_volume_or,,,,,,,,,,,,,,,,,
2023-10-12,False,zero_volume_or,unknown,False,zero_volume_or,,,,,,,,,,,,,,,,,
2023-10-13,False,late_start,unknown,False,late_start,,,,,,,,,,,,,,,,,
2023-10-16,False,zero_volume_or,unknown,False,zero_volume_or,,,,,,,,,,,,,,,,,
2023-10-17,False,zero_volume_or,unknown,False,zero_volume_or,,,,,,,,,,,,,,,,,
2023-10-18,False,zero_volume_or,unknown,False,zero_volume_or,,,,,,,,,,,,,,,,,
2023-10-19,False,zero_volume_or,unknown,False,zero_volume_or,,,,,,,,,,,,,,,,,
2023-10-20,False,zero_volume_or,unknown,False,zero_volume_or,,,,,,,,,,,,,,,,,
2023-10-23,False,zero_volume_or,unknown,False,zero_volume_or,,,,,,,,,,,,,,,,,
2023-10-24,False,zero_volume_or,unknown,False,zero_volume_or,,,,,,,,,,,,,,,,,
2023-10-25,False,zero_volume_or,unknown,False,zero_volume_or,,,,,,,,,,,,,,,,,
