scope,rule_id,family,direction,trades,total_pnl,avg_pnl,median_pnl,win_rate,profit_factor,max_drawdown,sharpe_trade,adjusted_t,is_trades,is_pnl,is_avg,is_win_rate,oos_trades,oos_pnl,oos_avg,oos_win_rate,largest_day_pnl,largest_day_concentration,rules_tried,passes_n80,passes_oos,passes_concentration,passes_pf,passes_adjusted_t,passes_all_core,slippage_rt
full_history,or_retest_slip_shape|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal_tight|rr=1.25|start=10:00|stop_mode=fixed|stop_points=60|target_mode=rr|time_exit=12:00|touch_tolerance=5,or_retest,long,183,4704.779999999999,25.709180327868847,38.66,0.5956284153005464,1.632731996890659,-572.880000000001,0.22487390756628897,0.08962689927892342,109,2908.4399999999987,26.682935779816503,0.5871559633027523,74,1796.3399999999997,24.27486486486486,0.6081081081081081,147.66,0.031385101960134165,1152,True,True,True,True,False,True,1.0
full_history,or_retest_slip_shape|long|buffer_points=0|confirm_pattern=break_prev|end=11:30|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal_tight|rr=1.5|start=10:00|stop_mode=fixed|stop_points=60|target_mode=rr|time_exit=12:00|touch_tolerance=5,or_retest,long,195,4664.199999999999,23.918974358974353,23.66,0.5743589743589743,1.5728764929277843,-864.9599999999992,0.20008107944302767,0.08231843171522289,117,3173.2199999999984,27.12153846153845,0.5726495726495726,78,1490.98,19.115128205128205,0.5769230769230769,177.66,0.03809013335620257,1152,True,True,True,True,False,True,1.0
full_history,or_retest_slip_shape|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal_tight|rr=2.5|start=10:10|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=10,or_retest,long,166,4646.059999999998,27.988313253012034,-82.34,0.42771084337349397,1.59395062833182,-691.4800000000005,0.2118142723340159,0.08040499413390975,99,2648.839999999999,26.755959595959585,0.40404040404040403,67,1997.2199999999991,29.809253731343272,0.4626865671641791,197.66,0.04254357455564502,1152,True,True,True,True,False,True,1.0
full_history,or_retest_slip_shape|long|buffer_points=0|confirm_pattern=break_prev|end=10:45|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal_tight|rr=1.25|start=10:00|stop_mode=fixed|stop_points=60|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,168,4638.379999999999,27.609404761904756,147.66,0.5654761904761905,1.5262920216218177,-611.7000000000007,0.20959886162293906,0.08004188741364107,100,3016.9999999999995,30.169999999999995,0.57,68,1621.38,23.843823529411765,0.5588235294117647,147.66,0.031834390455288276,1152,True,True,True,True,False,True,1.0
full_history,or_retest_slip_shape|long|buffer_points=0|confirm_pattern=break_prev|end=11:30|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal_tight|rr=2|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,195,4563.699999999997,23.40358974358973,-82.34,0.4564102564102564,1.5228779886434982,-618.5000000000008,0.1994715571457246,0.0820676587798253,117,2359.7199999999984,20.168547008546994,0.4444444444444444,78,2203.979999999999,28.256153846153836,0.47435897435897434,157.66,0.03454653022766617,1152,True,True,True,True,False,True,1.0
full_history,or_retest_slip_filter|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_signal_ema_slope=30|max_stop=120|min_reward_points=8|or_class=normal_tight|rr=2|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,160,4526.0999999999985,28.28812499999999,-82.34,0.475,1.6543859953502893,-658.7200000000001,0.23945260161241,0.0892387157657541,96,2609.359999999999,27.180833333333325,0.46875,64,1916.7399999999998,29.949062499999997,0.484375,157.66,0.034833521132984255,1152,True,True,True,True,False,True,1.0
full_history,or_retest_slip_filter|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_signal_volume_ratio=2|max_stop=120|min_reward_points=8|or_class=normal_tight|rr=2|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,150,4371.999999999998,29.146666666666654,-82.34,0.48,1.6807296824299491,-508.08000000000015,0.24689601289676882,0.08909092469237176,90,2587.8999999999987,28.75444444444443,0.4777777777777778,60,1784.1000000000001,29.735000000000003,0.48333333333333334,157.66,0.036061299176578236,1152,True,True,True,True,False,True,1.0
full_history,or_retest_slip_shape|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal_tight|rr=2|start=10:10|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=10,or_retest,long,166,4356.559999999998,26.244337349397576,-82.34,0.46987951807228917,1.6012431823702162,-755.1000000000005,0.2230335199184478,0.08466383621415732,99,2241.339999999999,22.63979797979797,0.4444444444444444,67,2115.2199999999993,31.57044776119402,0.5074626865671642,157.66,0.03618910332923226,1152,True,True,True,True,False,True,1.0
full_history,or_retest_slip_filter|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_signal_volume_ratio=2.25|max_stop=120|min_reward_points=8|or_class=normal_tight|rr=2|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,161,4127.259999999998,25.635155279503095,-82.34,0.4658385093167702,1.5828442476176483,-508.08000000000175,0.2180377619026535,0.08151141154397341,96,2772.8599999999988,28.88395833333332,0.4791666666666667,65,1354.3999999999999,20.836923076923075,0.4461538461538462,157.66,0.03819967726772727,1152,True,True,True,True,False,True,1.0
full_history,or_retest_slip_filter|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=120|min_reward_points=8|min_signal_rsi=55|or_class=normal_tight|rr=2|start=10:10|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,102,3578.819999999999,35.08647058823528,44.16,0.5098039215686274,1.8692786009230016,-432.76000000000016,0.2983017104260954,0.08876251312999478,61,1770.26,29.020655737704917,0.47540983606557374,41,1808.5599999999997,44.11121951219511,0.5609756097560976,157.66,0.04405362661435894,1152,True,True,True,True,False,True,1.0
