capital,rule_id,trades,pnl,avg,win_rate,pf,max_dd,pnl_to_dd,oos_avg,is_avg,mc20dd,cagr_active,score
7500,or_retest_slip_filter|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_close_vwap_delta=65|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,95,2186.699999999999,23.017894736842095,0.6105263157894737,1.6845031271716462,-417.0600000000003,5.243130484822322,17.870526315789466,26.449473684210528,0.0001,0.11535191940032141,3.542154852477591
3750,or_retest_slip_shape|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=10,114,2166.239999999999,19.002105263157883,0.5877192982456141,1.5338222465364533,-496.079999999999,4.366715045960335,15.3991304347826,21.439411764705884,0.0716,0.21476309932149884,2.911878947361853
7500,or_retest_slip_shape|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=10,114,2166.239999999999,19.002105263157883,0.5877192982456141,1.5338222465364533,-496.079999999999,4.366715045960335,15.3991304347826,21.439411764705884,0.0007,0.11434609696399423,3.134253158227811
3750,or_retest_slip_filter|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_signal_volume_ratio=2.25|max_stop=120|min_reward_points=8|or_class=normal|rr=1.5|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,90,1958.3999999999999,21.759999999999998,0.5444444444444444,1.5532297157578938,-577.0600000000003,3.3937545489203877,19.21555555555555,23.456296296296305,0.085,0.19636704892106183,2.5438706776824516
7500,or_retest_slip_filter|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_signal_volume_ratio=2.25|max_stop=120|min_reward_points=8|or_class=normal|rr=1.5|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,90,1958.3999999999999,21.759999999999998,0.5444444444444444,1.5532297157578938,-577.0600000000003,3.3937545489203877,19.21555555555555,23.456296296296305,0.0016,0.10405866210051995,2.7757382345335073
3750,or_retest_slip_filter|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=120|min_reward_points=8|min_signal_rsi=60|or_class=normal_tight|rr=1.5|start=10:10|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,86,1955.2599999999998,22.735581395348834,0.5581395348837209,1.595948697316606,-490.7200000000001,3.9844717965438528,23.702857142857138,22.071764705882345,0.068,0.1960862052465684,3.7135277143788703
7500,or_retest_slip_filter|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=120|min_reward_points=8|min_signal_rsi=60|or_class=normal_tight|rr=1.5|start=10:10|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,86,1955.2599999999998,22.735581395348834,0.5581395348837209,1.595948697316606,-490.7200000000001,3.9844717965438528,23.702857142857138,22.071764705882345,0.001,0.10390225303730793,3.9804873247473087
3750,or_retest_slip_filter|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_close_vwap_delta=65|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal|rr=1.5|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,95,1926.7000000000003,20.28105263157895,0.5368421052631579,1.5071651188746389,-577.0600000000002,3.338820919835025,18.923157894736836,21.186315789473685,0.1116,0.19352770130391272,2.649353122554114
7500,or_retest_slip_filter|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_close_vwap_delta=65|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal|rr=1.5|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,95,1926.7000000000003,20.28105263157895,0.5368421052631579,1.5071651188746389,-577.0600000000002,3.338820919835025,18.923157894736836,21.186315789473685,0.0034,0.10247825866318094,2.9720230998845456
3750,or_retest_slip_filter|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_signal_volume_ratio=2.5|max_stop=120|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,94,1913.04,20.35148936170213,0.5957446808510638,1.5830803555100392,-503.4000000000003,3.8002383790226437,17.870526315789466,22.035,0.0494,0.19230138200658953,2.9297660229926277
7500,or_retest_slip_filter|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_signal_volume_ratio=2.5|max_stop=120|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,94,1913.04,20.35148936170213,0.5957446808510638,1.5830803555100392,-503.4000000000003,3.8002383790226437,17.870526315789466,22.035,0.0013,0.10179630007232476,3.078011074229684
3750,or_retest_slip_filter|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=120|min_reward_points=8|min_signal_rsi=60|or_class=normal_tight|rr=1.25|start=10:10|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,86,1819.7599999999998,21.159999999999997,0.6046511627906976,1.619902165174617,-330.72,5.502418964683114,19.831428571428564,22.071764705882345,0.0471,0.1838815194326362,4.711052288909343
7500,or_retest_slip_filter|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=120|min_reward_points=8|min_signal_rsi=60|or_class=normal_tight|rr=1.25|start=10:10|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,86,1819.7599999999998,21.159999999999997,0.6046511627906976,1.619902165174617,-330.72,5.502418964683114,19.831428571428564,22.071764705882345,0.0005,0.09712417178115351,4.941438516911417
3750,or_retest_slip_filter|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_signal_rsi=70|max_stop=120|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,82,1689.1199999999997,20.599024390243898,0.5975609756097561,1.5928359340451066,-510.72000000000014,3.3073308270676676,22.750909090909087,19.149795918367342,0.0486,0.17195233296596668,3.146594548872179
7500,or_retest_slip_filter|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_signal_rsi=70|max_stop=120|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,82,1689.1199999999997,20.599024390243898,0.5975609756097561,1.5928359340451066,-510.72000000000014,3.3073308270676676,22.750909090909087,19.149795918367342,0.001,0.09053549578856512,3.3040234962406
3750,or_retest_slip_filter|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_signal_rsi=70|max_stop=120|min_reward_points=8|or_class=normal|rr=1.5|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,82,1649.12,20.11121951219512,0.5365853658536586,1.5026395035538804,-490.7200000000002,3.3606129768503408,22.750909090909087,18.333469387755105,0.1022,0.16826700736132771,3.017158330616236
7500,or_retest_slip_filter|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_signal_rsi=70|max_stop=120|min_reward_points=8|or_class=normal|rr=1.5|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,82,1649.12,20.11121951219512,0.5365853658536586,1.5026395035538804,-490.7200000000002,3.3606129768503408,22.750909090909087,18.333469387755105,0.0028,0.08850741549477403,3.3512032605151596
