scope,rule_id,family,direction,trades,total_pnl,avg_pnl,median_pnl,win_rate,profit_factor,max_drawdown,sharpe_trade,adjusted_t,is_trades,is_pnl,is_avg,is_win_rate,oos_trades,oos_pnl,oos_avg,oos_win_rate,largest_day_pnl,largest_day_concentration,rules_tried,passes_n80,passes_oos,passes_concentration,passes_pf,passes_adjusted_t,passes_all_core,slippage_rt,variant
full_history,base_vwap65|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_close_vwap_delta=65|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,95,2750.6999999999985,28.95473684210525,97.66,0.6210526315789474,1.9279612986802679,-381.0600000000011,0.3308004655588154,1.218649724743582,57,1919.6200000000001,33.67754385964913,0.6491228070175439,38,831.0799999999997,21.870526315789466,0.5789473684210527,97.66,0.035503689969825884,7,True,True,True,True,True,True,1.0,base_vwap65
full_history,vwap65_vol250|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_close_vwap_delta=65|max_risk_points=120|max_signal_volume_ratio=2.5|max_stop=120|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,85,2494.0999999999985,29.342352941176454,97.66,0.6235294117647059,1.9465706218119985,-381.0600000000003,0.33555949524850875,1.1693108386916193,51,1513.6599999999999,29.67960784313725,0.6274509803921569,34,980.4399999999998,28.83647058823529,0.6176470588235294,97.66,0.039156409125536286,7,True,True,True,True,True,True,1.0,vwap65_vol250
full_history,vwap65_vol225|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_close_vwap_delta=65|max_risk_points=120|max_signal_volume_ratio=2.25|max_stop=120|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,82,2381.119999999999,29.03804878048779,97.66,0.6219512195121951,1.9328433638650118,-298.72000000000025,0.33177862108515527,1.135550110836889,49,1678.3399999999997,34.251836734693875,0.6530612244897959,33,702.7799999999999,21.296363636363633,0.5757575757575758,97.66,0.04101431259239351,7,True,True,True,True,True,True,1.0,vwap65_vol225
full_history,vwap65_emaslope20|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_close_vwap_delta=65|max_risk_points=120|max_signal_ema_slope=20|max_stop=120|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,70,2589.1999999999985,36.988571428571404,97.66,0.6714285714285714,2.367183787265949,-314.0400000000002,0.4374415830065877,1.383311745570424,42,1714.7199999999998,40.82666666666666,0.6904761904761905,28,874.4799999999998,31.231428571428562,0.6428571428571429,97.66,0.037718214120191586,7,False,True,True,True,True,False,1.0,vwap65_emaslope20
full_history,vwap65_vol200|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_close_vwap_delta=65|max_risk_points=120|max_signal_volume_ratio=2|max_stop=120|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,74,2259.8399999999992,30.53837837837837,97.66,0.6351351351351351,2.0164898928561783,-329.36,0.35271834317946743,1.1468190162064975,44,1190.04,27.046363636363637,0.6136363636363636,30,1069.8,35.66,0.6666666666666666,97.66,0.04321544888133674,7,False,True,True,True,True,False,1.0,vwap65_vol200
full_history,vwap65_vol250_emaslope30|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_close_vwap_delta=65|max_risk_points=120|max_signal_ema_slope=30|max_signal_volume_ratio=2.5|max_stop=120|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,76,1975.16,25.988947368421055,97.66,0.6052631578947368,1.7995951744797982,-478.71999999999935,0.29456492743852963,0.9705967039655726,45,1647.7000000000005,36.61555555555557,0.6666666666666666,31,327.45999999999987,10.563225806451609,0.5161290322580645,97.66,0.04944409566819903,7,False,False,True,True,False,False,1.0,vwap65_vol250_emaslope30
full_history,vwap65_vol250_rsi70|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_close_vwap_delta=65|max_risk_points=120|max_signal_rsi=70|max_signal_volume_ratio=2.5|max_stop=120|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,68,1913.88,28.14529411764706,97.66,0.6176470588235294,1.893985538386801,-530.4200000000003,0.32071027738171975,0.9995817394748989,40,979.3999999999999,24.484999999999996,0.6,28,934.4799999999998,33.374285714285705,0.6428571428571429,97.66,0.05102723263736493,7,False,True,True,True,False,False,1.0,vwap65_vol250_rsi70
full_history,base_vwap65|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_close_vwap_delta=65|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,95,2702.6999999999985,28.44947368421051,97.16,0.6210526315789474,1.9062650893288258,-385.5600000000011,0.3250328054715115,1.197401999575076,57,1890.6200000000001,33.168771929824565,0.6491228070175439,38,812.0799999999997,21.370526315789466,0.5789473684210527,97.16,0.03594923594923597,7,True,True,True,True,True,True,1.5,base_vwap65
full_history,vwap65_vol250|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_close_vwap_delta=65|max_risk_points=120|max_signal_volume_ratio=2.5|max_stop=120|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,85,2451.0999999999985,28.836470588235276,97.16,0.6235294117647059,1.924636347175277,-385.5600000000003,0.3297796280134928,1.149169965017049,51,1487.6599999999999,29.169803921568626,0.6274509803921569,34,963.4399999999998,28.33647058823529,0.6176470588235294,97.16,0.03963934559993475,7,True,True,True,True,True,True,1.5,vwap65_vol250
full_history,vwap65_vol225|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_close_vwap_delta=65|max_risk_points=120|max_signal_volume_ratio=2.25|max_stop=120|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,82,2339.619999999999,28.531951219512184,97.16,0.6219512195121951,1.91105278733976,-302.72000000000025,0.3260017421556116,1.1157780848778962,49,1653.3399999999997,33.74163265306122,0.6530612244897959,33,686.2799999999999,20.796363636363633,0.5757575757575758,97.16,0.04152811140270644,7,True,True,True,True,True,True,1.5,vwap65_vol225
full_history,vwap65_emaslope20|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_close_vwap_delta=65|max_risk_points=120|max_signal_ema_slope=20|max_stop=120|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,70,2553.1999999999985,36.47428571428569,97.16,0.6714285714285714,2.340037369050868,-317.0400000000002,0.43136549350576014,1.3640974634807734,42,1693.2199999999998,40.3147619047619,0.6904761904761905,28,859.9799999999998,30.71357142857142,0.6428571428571429,97.16,0.038054206485978403,7,False,True,True,True,True,False,1.5,vwap65_emaslope20
full_history,vwap65_vol200|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_close_vwap_delta=65|max_risk_points=120|max_signal_volume_ratio=2|max_stop=120|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,74,2221.8399999999992,30.024864864864856,97.16,0.6351351351351351,1.9933651662285163,-331.36,0.34679573946611086,1.1275624204119414,44,1167.54,26.535,0.6136363636363636,30,1054.3,35.14333333333333,0.6666666666666666,97.16,0.043729521477694176,7,False,True,True,True,True,False,1.5,vwap65_vol200
