scope,rule_id,family,direction,trades,total_pnl,avg_pnl,median_pnl,win_rate,profit_factor,max_drawdown,sharpe_trade,adjusted_t,is_trades,is_pnl,is_avg,is_win_rate,oos_trades,oos_pnl,oos_avg,oos_win_rate,largest_day_pnl,largest_day_concentration,rules_tried,passes_n80,passes_oos,passes_concentration,passes_pf,passes_adjusted_t,passes_all_core,slippage_rt,variant
full_history,base_vwap65|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_close_vwap_delta=65|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,95,2750.6999999999985,28.95473684210525,97.66,0.6210526315789474,1.9279612986802679,-381.0600000000011,0.3308004655588154,1.0747480356562782,57,1919.6200000000001,33.67754385964913,0.6491228070175439,38,831.0799999999997,21.870526315789466,0.5789473684210527,97.66,0.035503689969825884,9,True,True,True,True,True,True,1.0,base_vwap65
full_history,vwap65_emaslope20_orpos40|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_close_vwap_delta=65|max_risk_points=120|max_signal_ema_slope=20|max_stop=120|min_or_close_pos=0.4|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,55,2624.299999999999,47.71454545454543,97.66,0.7272727272727273,3.1247672253258845,-396.3800000000002,0.5918186487313023,1.4630148557853613,33,1375.78,41.69030303030303,0.696969696969697,22,1248.52,56.75090909090909,0.7727272727272727,97.66,0.03721373318599247,9,False,True,True,True,True,False,1.0,vwap65_emaslope20_orpos40
full_history,vwap65_orpos40|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_close_vwap_delta=65|max_risk_points=120|max_stop=120|min_or_close_pos=0.4|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,74,2499.839999999999,33.7816216216216,97.66,0.6486486486486487,2.1676911866370205,-545.7400000000004,0.39181373536844066,1.1235030652447635,44,1550.04,35.22818181818182,0.6590909090909091,30,949.7999999999998,31.659999999999993,0.6333333333333333,97.66,0.0390665002560164,9,False,True,True,True,True,False,1.0,vwap65_orpos40
full_history,vwap65_vol250_orpos40|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_close_vwap_delta=65|max_risk_points=120|max_signal_volume_ratio=2.5|max_stop=120|min_or_close_pos=0.4|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,66,2258.5599999999995,34.22060606060605,97.66,0.6515151515151515,2.1925948611800488,-463.4000000000003,0.397480904724617,1.0763833783640786,39,1241.7400000000002,31.839487179487186,0.6410256410256411,27,1016.8199999999999,37.66,0.6666666666666666,97.66,0.04323994049305753,9,False,True,True,True,True,False,1.0,vwap65_vol250_orpos40
full_history,vwap65_vol225_orpos40|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_close_vwap_delta=65|max_risk_points=120|max_signal_volume_ratio=2.25|max_stop=120|min_or_close_pos=0.4|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,63,1965.5800000000002,31.19968253968254,97.66,0.6349206349206349,2.037891668690795,-381.0600000000003,0.3586699148414942,0.9489513974313084,37,1406.42,38.01135135135135,0.6756756756756757,26,559.1599999999999,21.50615384615384,0.5769230769230769,97.66,0.049685080230771575,9,False,False,True,True,False,False,1.0,vwap65_vol225_orpos40
full_history,vwap65_minute1010|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_close_vwap_delta=65|max_risk_points=120|max_stop=120|min_reward_points=8|min_signal_minute=610|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,76,1915.16,25.199473684210528,97.66,0.6052631578947368,1.7753056432677505,-463.40000000000026,0.28685968397565514,0.8335949156172632,45,1107.6999999999998,24.615555555555552,0.6,31,807.4599999999998,26.04709677419354,0.6129032258064516,97.66,0.05099312851145596,9,False,True,True,True,False,False,1.0,vwap65_minute1010
full_history,vwap65_orpos50|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_close_vwap_delta=65|max_risk_points=120|max_stop=120|min_or_close_pos=0.5|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,64,1883.2399999999993,29.42562499999999,97.66,0.625,1.9529795158286776,-561.0600000000002,0.3364722751112722,0.8972594002967259,38,1144.08,30.10736842105263,0.631578947368421,26,739.1599999999999,28.429230769230763,0.6153846153846154,97.66,0.05185743718272766,9,False,True,True,True,False,False,1.0,vwap65_orpos50
full_history,vwap65_vol250_minute1010|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_close_vwap_delta=65|max_risk_points=120|max_signal_volume_ratio=2.5|max_stop=120|min_reward_points=8|min_signal_minute=610|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,72,1704.5199999999995,23.673888888888882,97.66,0.5972222222222222,1.7138274438199887,-381.0600000000003,0.26866475497709835,0.7598986804405139,43,912.3799999999998,21.218139534883715,0.5813953488372093,29,792.1399999999998,27.315172413793096,0.6206896551724138,97.66,0.057294722267852545,9,False,True,True,True,False,False,1.0,vwap65_vol250_minute1010
full_history,vwap65_minute1020|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_close_vwap_delta=65|max_risk_points=120|max_stop=120|min_reward_points=8|min_signal_minute=620|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,66,1298.56,19.675151515151516,97.66,0.5757575757575758,1.5632395294770804,-329.3600000000001,0.22176887282565858,0.6005529465961595,39,881.7399999999997,22.608717948717942,0.5897435897435898,27,416.8199999999998,15.437777777777772,0.5555555555555556,97.66,0.07520638245441104,9,False,True,True,True,False,False,1.0,vwap65_minute1020
full_history,base_vwap65|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_close_vwap_delta=65|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,95,2702.6999999999985,28.44947368421051,97.16,0.6210526315789474,1.9062650893288258,-385.5600000000011,0.3250328054715115,1.0560093034157065,57,1890.6200000000001,33.168771929824565,0.6491228070175439,38,812.0799999999997,21.370526315789466,0.5789473684210527,97.16,0.03594923594923597,9,True,True,True,True,True,True,1.5,base_vwap65
