rule_id,trades,pnl_1,pnl_3,pnl_5,pf_1,pf_1_5,pf_3,pf_5,oos_avg_3,oos_avg_5,pass_1,pass_1_5,pass_3,pass_5,max_drawdown_5
or_retest_slip_filter|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_signal_rsi=70|max_stop=120|min_reward_points=8|or_class=normal|rr=1.5|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,82,1981.1199999999994,1815.1199999999994,1649.12,1.6331641588791013,1.6161592416579829,1.566354230370804,1.5026395035538804,24.750909090909087,22.750909090909087,True,True,True,True,-490.7200000000002
or_retest_slip_filter|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_signal_volume_ratio=2|max_stop=120|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,82,2321.119999999999,1973.1199999999997,1625.1199999999997,1.909337365917869,1.8874939642684683,1.7310884515058094,1.5703736461206925,33.78121212121212,31.72060606060606,True,True,True,False,-510.72000000000014
or_retest_slip_filter|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_signal_ema_slope=30|max_stop=120|min_reward_points=8|or_class=normal_tight|rr=2|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,160,4526.0999999999985,3714.0999999999985,3302.5999999999985,1.6543859953502893,1.6385085419971943,1.5120608169590413,1.4447802360597093,24.105312499999997,20.769374999999997,True,True,True,False,-796.0800000000003
or_retest_slip_shape|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal_tight|rr=1.25|start=10:00|stop_mode=fixed|stop_points=60|target_mode=rr|time_exit=15:55|touch_tolerance=5,183,5533.279999999997,4875.279999999997,4365.279999999997,1.5889588313808805,1.576120016701957,1.5034698699624922,1.4432044315569743,28.531621621621618,26.301891891891888,True,True,True,False,-993.4000000000002
or_retest_slip_shape|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal_tight|rr=1.5|start=10:00|stop_mode=fixed|stop_points=60|target_mode=rr|time_exit=12:00|touch_tolerance=5,183,4948.279999999999,4406.779999999999,3493.7799999999997,1.649181222564199,1.6254080919549818,1.5639465689298173,1.4241547934694985,19.828918918918912,17.045135135135126,True,True,True,False,-1130.6200000000003
or_retest_slip_shape|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal_tight|rr=1.25|start=10:00|stop_mode=fixed|stop_points=60|target_mode=rr|time_exit=12:00|touch_tolerance=10,196,5319.359999999999,4236.359999999999,3353.3599999999988,1.6674060876765953,1.647223261265305,1.510627526704418,1.384064577310897,20.381518987341767,17.84987341772151,True,True,True,False,-920.6200000000003
or_retest_slip_filter|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_signal_volume_ratio=2|max_stop=120|min_reward_points=8|or_class=normal|rr=1.5|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,82,2301.119999999999,2133.1199999999994,1965.1199999999997,1.7762934175370406,1.7575245453082238,1.7025531578531334,1.632229171492548,40.447878787878786,38.38727272727272,False,False,False,False,-490.72000000000014
or_retest_slip_filter|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_signal_ema_slope=30|max_stop=120|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,88,2427.079999999999,2249.0799999999995,1891.0799999999995,1.8669505207961243,1.845918425313147,1.7843183752040055,1.6257917204407815,10.659999999999993,8.659999999999995,False,False,False,False,-589.7399999999991
or_retest_slip_filter|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_signal_volume_ratio=2.25|max_stop=120|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,90,2442.3999999999987,2260.3999999999987,1898.3999999999996,1.847496443318643,1.8266882803338613,1.765744097022256,1.6107636475947795,15.659999999999993,13.659999999999993,False,False,False,False,-417.0600000000003
or_retest_slip_filter|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,104,2729.6399999999985,2519.6399999999985,2129.639999999999,1.8085570241177265,1.7882194297558611,1.7286534757688095,1.5872795261259465,14.231428571428566,12.231428571428566,False,False,False,False,-503.3999999999992
