rule_id,family,direction,date,or_class,or_size,signal_ts,entry_ts,entry_price,exit_ts,exit_price,exit_reason,net_pnl,scope,date_key,day_return_pct,day_direction,day_bucket,signal_minute,signal_after_1010,signal_after_1020,breakout_minute,breakout_after_0955,or_percentile,or_close_pos,or_green,rth_move_sig,rth_ret_sig,signal_close,signal_range,signal_vol_ratio,signal_rsi,signal_ema_slope,signal_vwap_delta,signal_ema_delta,signal_ext_above_or,signal_to_high_so_far,signal_from_low_so_far,close_above_ema,close_above_vwap,prior_day_dir,prior_day_eff,prior_day_zombie
or_retest_slip_filter|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_close_vwap_delta=65|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,2023-12-19,normal,50.0,2023-12-19 10:38:00-05:00,2023-12-19 10:39:00-05:00,17203.5,2023-12-19 15:55:00-05:00,17225.5,time_exit,42.66,full_history,2023-12-19,0.454545454545463,up,0.25 to 1%,638,True,True,633,True,50.0,0.88,True,49.25,0.287004662004664,17209.25,7.75,0.9188361408882083,69.5578396251068,3.9095796729998256,19.141003460204956,21.888318691995664,2.75,7.75,52.75,True,True,up,0.7326007326007326,True
or_retest_slip_filter|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_close_vwap_delta=65|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,2024-01-03,normal,56.0,2024-01-03 10:05:00-05:00,2024-01-03 10:06:00-05:00,16855.25,2024-01-03 10:09:00-05:00,16812.75,stop,-86.34,full_history,2024-01-03,-0.38827152229213846,down,-1 to -0.25%,605,False,False,588,False,50.0,0.9419642857142857,True,45.5,0.27074872435697284,16850.75,6.25,1.6946442845723422,32.03868595513238,-12.389669028827484,26.669459962755354,-18.80867611532085,3.25,3.25,59.25,False,True,down,0.5128205128205128,False
or_retest_slip_filter|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_close_vwap_delta=65|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,2024-02-13,normal,76.0,2024-02-13 10:01:00-05:00,2024-02-13 10:02:00-05:00,17903.0,2024-02-13 10:26:00-05:00,17950.5,target,93.66,full_history,2024-02-13,0.34443651027009636,up,0.25 to 1%,601,False,False,594,False,75.0,0.6973684210526315,True,55.75,0.3122330967082476,17911.0,10.75,1.6717141126589945,20.287606728079922,-48.099476177070756,31.01952380952207,-190.64790470829394,13.0,8.5,89.0,False,True,down,0.30193905817174516,False
or_retest_slip_filter|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_close_vwap_delta=65|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,2024-02-21,normal,57.25,2024-02-21 10:16:00-05:00,2024-02-21 10:17:00-05:00,17743.5,2024-02-21 10:30:00-05:00,17701.0,stop,-86.34,full_history,2024-02-21,0.3331263056857381,up,0.25 to 1%,616,True,False,604,True,35.0,0.27510917030567683,False,34.0,0.1919710914121131,17745.0,2.25,1.603281133482476,39.50761320407216,-7.386626418639935,30.840096618358075,-10.796505674570653,3.5,10.0,65.75,False,True,down,0.21619135234590617,False
or_retest_slip_filter|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_close_vwap_delta=65|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,2024-02-22,normal,54.0,2024-02-22 10:00:00-05:00,2024-02-22 10:01:00-05:00,18159.75,2024-02-22 10:35:00-05:00,18207.25,target,93.66,full_history,2024-02-22,0.8215703573003941,up,0.25 to 1%,600,False,False,585,False,30.0,0.5972222222222222,False,22.5,0.12406263784736637,18158.5,32.0,3.9234782608695653,79.74850061094453,75.30357648505742,7.809583752943581,304.7143059402224,3.5,46.75,57.5,True,True,up,0.3445255474452555,False
or_retest_slip_filter|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_close_vwap_delta=65|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,2024-03-01,normal,45.25,2024-03-01 10:05:00-05:00,2024-03-01 10:06:00-05:00,18395.75,2024-03-01 10:56:00-05:00,18443.25,target,93.66,full_history,2024-03-01,1.30987105743805,up,>=1%,605,False,False,600,True,30.0,0.7237569060773481,True,49.75,0.2712428100209996,18391.25,26.0,1.2755695992017297,70.04348925464409,14.818796154868323,19.027598870055954,75.52518461946238,4.5,26.75,52.25,True,True,up,0.17479191438763378,False
or_retest_slip_filter|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_close_vwap_delta=65|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,2024-03-07,normal,62.25,2024-03-07 10:20:00-05:00,2024-03-07 10:21:00-05:00,18476.5,2024-03-07 10:48:00-05:00,18524.0,target,93.66,full_history,2024-03-07,0.7176481760340803,up,0.25 to 1%,620,True,True,615,True,65.0,0.012048192771084338,False,45.5,0.2469035312631318,18473.75,13.25,0.8113304882052244,66.84097450567117,23.72936456315074,39.57610085717897,110.16745825259204,3.25,6.5,108.75,True,True,down,0.29236276849642007,False
or_retest_slip_filter|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_close_vwap_delta=65|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,2024-03-18,normal,69.25,2024-03-18 10:12:00-04:00,2024-03-18 10:13:00-04:00,18357.0,2024-03-18 11:12:00-04:00,18314.5,stop,-86.34,full_history,2024-03-18,-0.3049030599688307,down,-1 to -0.25%,612,True,False,586,False,70.0,0.7689530685920578,True,70.25,0.3842052011266306,18354.75,13.5,2.557123664645824,66.42213575711295,33.105212792659586,34.80413102183957,198.42085117062743,8.0,6.75,77.25,True,True,down,0.5593471810089021,False
or_retest_slip_filter|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_close_vwap_delta=65|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,2024-03-25,normal,65.5,2024-03-25 10:08:00-04:00,2024-03-25 10:09:00-04:00,18497.5,2024-03-25 11:41:00-04:00,18545.0,target,93.66,full_history,2024-03-25,0.2762917315636271,up,0.25 to 1%,608,False,False,593,False,60.0,0.12595419847328243,False,36.25,0.19638382880746708,18495.0,19.0,2.0861214202198384,38.254397468556725,-14.37245759855432,34.610957705397595,-41.73983039421728,14.5,2.25,80.0,False,True,up,0.2823061630218688,False
or_retest_slip_filter|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_close_vwap_delta=65|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal|rr=1.25|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,or_retest,long,2024-04-05,normal,79.75,2024-04-05 10:09:00-04:00,2024-04-05 10:10:00-04:00,18212.75,2024-04-05 10:49:00-04:00,18260.25,target,93.66,full_history,2024-04-05,0.8545123766469986,up,0.25 to 1%,609,False,False,587,False,65.0,0.8432601880877743,True,71.25,0.39280004410386926,18210.25,29.75,1.7211282505497492,36.12177863706473,-1.1993619567183487,34.78469640159892,-0.5474478268843086,28.0,21.0,107.75,False,True,down,0.921403855659911,True
