bucket,trades,total_pnl,avg_pnl,win_rate,pf
<= -1%,4,-105.36000000000001,-26.340000000000003,0.25,0.5932360435487607
-1% to -0.25%,16,-661.44,-41.34,0.1875,0.41070187630298816
-0.25% to 0%,16,58.559999999999945,3.6599999999999966,0.375,1.067824878387769
0% to 0.25%,19,-946.4600000000002,-49.813684210526326,0.21052631578947367,0.2691992896301444
0.25% to 1%,77,3997.319999999999,51.91324675324674,0.5974025974025974,2.4934654441928745
>= 1%,18,1325.88,73.66000000000001,0.6666666666666666,3.559416261292564
